Restaurants and Other Eating Places,197
"Museums, Historical Sites, and Similar Institutions",90
Lessors of Real Estate,68
Other Amusement and Recreation Industries,64
Elementary and Secondary Schools,51
Gasoline Stations,50
Grocery Stores,45
Health and Personal Care Stores,23
"Sporting Goods, Hobby, and Musical Instrument Stores",20
"General Merchandise Stores, including Warehouse Clubs and Supercenters",19
Traveler Accommodation,19
Child Day Care Services,18
Depository Credit Intermediation,17
Religious Organizations,16
Building Material and Supplies Dealers,15
Department Stores,12
Other Miscellaneous Store Retailers,10
Electronics and Appliance Stores,9
"Beer, Wine, and Liquor Stores",9
"Colleges, Universities, and Professional Schools",8
Automotive Repair and Maintenance,7
"Automotive Parts, Accessories, and Tire Stores",6
Furniture Stores,6
"Office Supplies, Stationery, and Gift Stores",6
Services to Buildings and Dwellings,5
Clothing Stores,4
Home Health Care Services,4
Motion Picture and Video Industries,3
Other Information Services,3
Personal Care Services,3
Spectator Sports,3
General Medical and Surgical Hospitals,3
Drinking Places (Alcoholic Beverages),3
Offices of Other Health Practitioners,3
"Agencies, Brokerages, and Other Insurance Related Activities",2
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,2
Employment Services,2
Used Merchandise Stores,2
Couriers and Express Delivery Services,2
Consumer Goods Rental,2
"Jewelry, Luggage, and Leather Goods Stores",2
Other Personal Services,2
Offices of Dentists,2
Postal Service,2
Support Activities for Air Transportation,1
Offices of Physicians,1
Specialty Food Stores,1
Other Motor Vehicle Dealers,1
Amusement Parks and Arcades,1
Waste Treatment and Disposal,1
Drycleaning and Laundry Services,1
Automobile Dealers,1
Florists,1
Technical and Trade Schools,1
Automotive Equipment Rental and Leasing,1
Junior Colleges,1
Bakeries and Tortilla Manufacturing,1
Home Furnishings Stores,1
"Other Professional, Scientific, and Technical Services",1
