Restaurants and Other Eating Places,774
"Museums, Historical Sites, and Similar Institutions",256
Gasoline Stations,228
Other Amusement and Recreation Industries,164
Grocery Stores,148
Lessors of Real Estate,109
Health and Personal Care Stores,102
"Sporting Goods, Hobby, and Musical Instrument Stores",89
Traveler Accommodation,88
Elementary and Secondary Schools,72
Offices of Physicians,69
Depository Credit Intermediation,67
Other Miscellaneous Store Retailers,58
"General Merchandise Stores, including Warehouse Clubs and Supercenters",55
Building Material and Supplies Dealers,52
Automobile Dealers,47
Religious Organizations,42
Automotive Repair and Maintenance,42
Child Day Care Services,42
"Automotive Parts, Accessories, and Tire Stores",39
Offices of Other Health Practitioners,30
Electronics and Appliance Stores,30
"Office Supplies, Stationery, and Gift Stores",30
"Beer, Wine, and Liquor Stores",30
Used Merchandise Stores,28
Clothing Stores,28
Offices of Dentists,26
Furniture Stores,23
Services to Buildings and Dwellings,20
"Jewelry, Luggage, and Leather Goods Stores",17
Home Health Care Services,16
Personal Care Services,15
Department Stores,15
Other Motor Vehicle Dealers,14
"Colleges, Universities, and Professional Schools",13
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,12
"Agencies, Brokerages, and Other Insurance Related Activities",12
Other Personal Services,11
Specialty Food Stores,10
Wired and Wireless Telecommunications Carriers,10
Couriers and Express Delivery Services,8
"Executive, Legislative, and Other General Government Support",8
Beverage Manufacturing,8
Book Stores and News Dealers,8
Florists,8
General Medical and Surgical Hospitals,7
Home Furnishings Stores,7
Drinking Places (Alcoholic Beverages),7
Miscellaneous Durable Goods Merchant Wholesalers,6
Waste Treatment and Disposal,6
Other Miscellaneous Manufacturing,5
Junior Colleges,5
Support Activities for Road Transportation,5
Medical and Diagnostic Laboratories,5
Lumber and Other Construction Materials Merchant Wholesalers,5
Nondepository Credit Intermediation,5
"Justice, Public Order, and Safety Activities",5
Drycleaning and Laundry Services,5
Offices of Real Estate Agents and Brokers,5
Individual and Family Services,5
Building Equipment Contractors,4
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",4
"Other Professional, Scientific, and Technical Services",4
"Machinery, Equipment, and Supplies Merchant Wholesalers",4
Outpatient Care Centers,4
Other Financial Investment Activities,4
Personal and Household Goods Repair and Maintenance,4
Other Schools and Instruction,3
Postal Service,3
Consumer Goods Rental,3
Motion Picture and Video Industries,3
Bakeries and Tortilla Manufacturing,3
"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",3
Gambling Industries,3
Automotive Equipment Rental and Leasing,3
Death Care Services,2
"Electric Power Generation, Transmission and Distribution",2
Other Ambulatory Health Care Services,2
Nursing Care Facilities (Skilled Nursing Facilities),2
Other Information Services,2
Psychiatric and Substance Abuse Hospitals,2
Printing and Related Support Activities,2
Shoe Stores,1
Specialized Freight Trucking,1
Employment Services,1
Grocery and Related Product Merchant Wholesalers,1
Rail Transportation,1
Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,1
Professional and Commercial Equipment and Supplies Merchant Wholesalers,1
Administration of Economic Programs,1
Technical and Trade Schools,1
"Community Food and Housing, and Emergency and Other Relief Services",1
RV (Recreational Vehicle) Parks and Recreational Camps,1
Support Activities for Air Transportation,1
Travel Arrangement and Reservation Services,1
Clay Product and Refractory Manufacturing,1
nan,1
Spectator Sports,1
Freight Transportation Arrangement,1
