Restaurants and Other Eating Places,3864
"Museums, Historical Sites, and Similar Institutions",1575
Other Amusement and Recreation Industries,716
Elementary and Secondary Schools,619
Grocery Stores,541
Religious Organizations,499
Gasoline Stations,355
Health and Personal Care Stores,341
"Sporting Goods, Hobby, and Musical Instrument Stores",305
"General Merchandise Stores, including Warehouse Clubs and Supercenters",236
Child Day Care Services,232
Other Miscellaneous Store Retailers,219
Offices of Physicians,196
Clothing Stores,189
Traveler Accommodation,179
Building Material and Supplies Dealers,149
Florists,135
"Automotive Parts, Accessories, and Tire Stores",132
Lessors of Real Estate,129
Automotive Repair and Maintenance,128
Personal Care Services,128
"Beer, Wine, and Liquor Stores",125
Electronics and Appliance Stores,118
"Office Supplies, Stationery, and Gift Stores",114
Used Merchandise Stores,103
Offices of Other Health Practitioners,99
Home Health Care Services,78
Automobile Dealers,76
Depository Credit Intermediation,71
"Colleges, Universities, and Professional Schools",71
Furniture Stores,66
Specialty Food Stores,66
Drinking Places (Alcoholic Beverages),62
Book Stores and News Dealers,62
Offices of Dentists,58
Department Stores,55
Other Information Services,48
"Justice, Public Order, and Safety Activities",41
"Jewelry, Luggage, and Leather Goods Stores",41
Bakeries and Tortilla Manufacturing,39
Other Personal Services,38
Wired and Wireless Telecommunications Carriers,37
Services to Buildings and Dwellings,35
Shoe Stores,32
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,30
Home Furnishings Stores,26
"Agencies, Brokerages, and Other Insurance Related Activities",24
Outpatient Care Centers,24
Other Schools and Instruction,24
"Other Professional, Scientific, and Technical Services",24
Individual and Family Services,24
General Medical and Surgical Hospitals,24
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",20
Motion Picture and Video Industries,19
Other Motor Vehicle Dealers,19
Beverage Manufacturing,18
Building Equipment Contractors,18
Postal Service,16
Other Miscellaneous Manufacturing,15
Other Financial Investment Activities,15
Drycleaning and Laundry Services,15
Amusement Parks and Arcades,12
Automotive Equipment Rental and Leasing,12
Offices of Real Estate Agents and Brokers,11
"Executive, Legislative, and Other General Government Support",11
Waste Treatment and Disposal,11
Support Activities for Road Transportation,11
Support Activities for Air Transportation,10
Rail Transportation,10
Death Care Services,10
Couriers and Express Delivery Services,9
Printing and Related Support Activities,9
Consumer Goods Rental,8
Spectator Sports,7
Medical and Diagnostic Laboratories,7
Junior Colleges,7
Travel Arrangement and Reservation Services,5
Administration of Economic Programs,5
Drugs and Druggists' Sundries Merchant Wholesalers,4
Lumber and Other Construction Materials Merchant Wholesalers,4
"Machinery, Equipment, and Supplies Merchant Wholesalers",3
Specialized Freight Trucking,3
Social Advocacy Organizations,3
Nondepository Credit Intermediation,3
Technical and Trade Schools,3
Commercial and Industrial Machinery and Equipment Rental and Leasing,3
Gambling Industries,3
Cable and Other Subscription Programming,2
"Electric Power Generation, Transmission and Distribution",2
Personal and Household Goods Repair and Maintenance,2
Employment Services,2
Warehousing and Storage,2
"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",2
RV (Recreational Vehicle) Parks and Recreational Camps,2
Nursing Care Facilities (Skilled Nursing Facilities),2
Other Ambulatory Health Care Services,2
nan,1
Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,1
Architectural and Structural Metals Manufacturing,1
Motor Vehicle Manufacturing,1
nan,1
nan,1
Other Transit and Ground Passenger Transportation,1
nan,1
nan,1
nan,1
Psychiatric and Substance Abuse Hospitals,1
Specialty (except Psychiatric and Substance Abuse) Hospitals,1
"Apparel, Piece Goods, and Notions Merchant Wholesalers",1
nan,1
nan,1
Residential Building Construction,1
Interurban and Rural Bus Transportation,1
National Security and International Affairs,1
Building Finishing Contractors,1
Grantmaking and Giving Services,1
Other Leather and Allied Product Manufacturing,1
Hardware Manufacturing,1
Miscellaneous Durable Goods Merchant Wholesalers,1
