Restaurants and Other Eating Places,1144
"Museums, Historical Sites, and Similar Institutions",652
Gasoline Stations,293
Grocery Stores,251
Other Amusement and Recreation Industries,148
Lessors of Real Estate,146
"General Merchandise Stores, including Warehouse Clubs and Supercenters",128
Elementary and Secondary Schools,116
Health and Personal Care Stores,114
Religious Organizations,112
"Sporting Goods, Hobby, and Musical Instrument Stores",88
Traveler Accommodation,84
Depository Credit Intermediation,81
Offices of Physicians,77
Building Material and Supplies Dealers,75
Other Miscellaneous Store Retailers,73
Automobile Dealers,72
"Automotive Parts, Accessories, and Tire Stores",71
Child Day Care Services,65
Automotive Repair and Maintenance,57
Electronics and Appliance Stores,47
Personal Care Services,46
Clothing Stores,40
Used Merchandise Stores,36
"Office Supplies, Stationery, and Gift Stores",34
Home Health Care Services,34
"Beer, Wine, and Liquor Stores",27
Offices of Other Health Practitioners,26
Furniture Stores,25
Wired and Wireless Telecommunications Carriers,23
"Jewelry, Luggage, and Leather Goods Stores",23
Offices of Dentists,21
Outpatient Care Centers,21
"Agencies, Brokerages, and Other Insurance Related Activities",19
"Colleges, Universities, and Professional Schools",19
Florists,18
Book Stores and News Dealers,16
General Medical and Surgical Hospitals,16
Home Furnishings Stores,15
Services to Buildings and Dwellings,15
"Other Professional, Scientific, and Technical Services",15
Specialty Food Stores,15
Department Stores,14
Postal Service,14
Medical and Diagnostic Laboratories,11
"Justice, Public Order, and Safety Activities",11
Other Financial Investment Activities,11
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,11
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",10
Other Personal Services,10
Nondepository Credit Intermediation,10
Support Activities for Air Transportation,9
Automotive Equipment Rental and Leasing,9
Drinking Places (Alcoholic Beverages),9
Bakeries and Tortilla Manufacturing,7
Other Information Services,6
Other Motor Vehicle Dealers,6
Beverage Manufacturing,6
Couriers and Express Delivery Services,5
Waste Treatment and Disposal,5
Shoe Stores,5
Individual and Family Services,5
Other Miscellaneous Manufacturing,5
Motion Picture and Video Industries,4
Junior Colleges,4
Personal and Household Goods Repair and Maintenance,4
Support Activities for Road Transportation,4
"Executive, Legislative, and Other General Government Support",3
Travel Arrangement and Reservation Services,3
Printing and Related Support Activities,3
"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",3
Death Care Services,3
Building Equipment Contractors,3
Other Schools and Instruction,3
Amusement Parks and Arcades,3
Drycleaning and Laundry Services,3
Miscellaneous Durable Goods Merchant Wholesalers,3
Lumber and Other Construction Materials Merchant Wholesalers,3
Employment Services,2
Technical and Trade Schools,2
Warehousing and Storage,2
nan,1
Psychiatric and Substance Abuse Hospitals,1
Rail Transportation,1
Offices of Real Estate Agents and Brokers,1
nan,1
nan,1
Miscellaneous Nondurable Goods Merchant Wholesalers,1
nan,1
Specialized Freight Trucking,1
Other Leather and Allied Product Manufacturing,1
nan,1
nan,1
nan,1
nan,1
nan,1
Grocery and Related Product Merchant Wholesalers,1
National Security and International Affairs,1
nan,1
nan,1
nan,1
Motor Vehicle Manufacturing,1
nan,1
"Data Processing, Hosting, and Related Services",1
Gambling Industries,1
Performing Arts Companies,1
Nursing Care Facilities (Skilled Nursing Facilities),1
nan,1
