Restaurants and Other Eating Places,356
Elementary and Secondary Schools,126
Gasoline Stations,94
Grocery Stores,75
Lessors of Real Estate,72
"General Merchandise Stores, including Warehouse Clubs and Supercenters",60
Other Amusement and Recreation Industries,53
Child Day Care Services,44
Health and Personal Care Stores,35
Religious Organizations,30
"Sporting Goods, Hobby, and Musical Instrument Stores",21
Depository Credit Intermediation,21
Other Miscellaneous Store Retailers,18
Traveler Accommodation,17
Building Material and Supplies Dealers,12
Offices of Physicians,11
Automotive Repair and Maintenance,9
"Museums, Historical Sites, and Similar Institutions",9
Department Stores,9
Electronics and Appliance Stores,9
Clothing Stores,7
"Automotive Parts, Accessories, and Tire Stores",7
Automobile Dealers,6
Personal Care Services,6
General Medical and Surgical Hospitals,6
"Office Supplies, Stationery, and Gift Stores",5
Drinking Places (Alcoholic Beverages),5
"Other Professional, Scientific, and Technical Services",5
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,5
"Agencies, Brokerages, and Other Insurance Related Activities",4
Used Merchandise Stores,4
Services to Buildings and Dwellings,4
Motion Picture and Video Industries,4
Offices of Dentists,3
"Colleges, Universities, and Professional Schools",3
Furniture Stores,3
"Beer, Wine, and Liquor Stores",3
Individual and Family Services,3
Postal Service,3
Waste Treatment and Disposal,3
Wired and Wireless Telecommunications Carriers,2
Other Schools and Instruction,2
Offices of Other Health Practitioners,2
Junior Colleges,2
"Justice, Public Order, and Safety Activities",2
Other Information Services,2
Home Furnishings Stores,2
Shoe Stores,2
Support Activities for Air Transportation,2
Florists,2
Other Financial Investment Activities,2
Specialty Food Stores,2
Miscellaneous Durable Goods Merchant Wholesalers,1
Book Stores and News Dealers,1
Offices of Real Estate Agents and Brokers,1
"Promoters of Performing Arts, Sports, and Similar Events",1
Spectator Sports,1
Gambling Industries,1
Building Equipment Contractors,1
"Jewelry, Luggage, and Leather Goods Stores",1
Home Health Care Services,1
Travel Arrangement and Reservation Services,1
Other Support Services,1
Performing Arts Companies,1
Medical and Diagnostic Laboratories,1
Automotive Equipment Rental and Leasing,1
Couriers and Express Delivery Services,1
Rail Transportation,1
Other Miscellaneous Manufacturing,1
"Executive, Legislative, and Other General Government Support",1
Technical and Trade Schools,1
Employment Services,1
Nondepository Credit Intermediation,1
Other Personal Services,1
