,safegraph_place_id,longitude,latitude,cbg,visits,hotspot_origin,hotspot_destination,cbg_longitude,cbg_latitude,top_category
0,sg:0a5751db41054a0091751f704a8d2502,-97.36431,32.758895,484391021001,5,False,False,-97.3648656,32.7578451,Restaurants and Other Eating Places
1,sg:f64802afa23242458308f80b007d64ff,-97.276285,32.698436,484391021001,4,False,False,-97.3648656,32.7578451,Religious Organizations
2,sg:4a0a3c3dd0d64bbdaa2f274b38e78229,-97.36478100000001,32.755931,484391021001,6,False,False,-97.3648656,32.7578451,Amusement Parks and Arcades
3,sg:28f98112fff3494f8c43691f22d51b65,-97.376951,32.639979,484391111041,4,False,False,-97.2767708,32.6681656,Religious Organizations
4,sg:b884e726b5864d938bc222eead4fbc42,-97.331315,32.711488,484391111041,4,False,False,-97.2767708,32.6681656,Offices of Other Health Practitioners
5,sg:987803649ed84df9b272ae80a7b78d36,-97.31939799999999,32.782313,484391111041,7,False,False,-97.2767708,32.6681656,Elementary and Secondary Schools
6,sg:3d53f245e04c43539665cfef00e30ea1,-97.352789,32.682970000000005,484391111041,4,False,False,-97.2767708,32.6681656,Automotive Repair and Maintenance
7,sg:15ea83eba4094895aec20b0ff77c2ded,-97.39515,32.678911,484391111041,4,False,False,-97.2767708,32.6681656,Furniture Stores
8,sg:08dbe44d65d34955aeaaee8d220b7410,-97.35374,32.668561,484391111041,4,False,False,-97.2767708,32.6681656,Used Merchandise Stores
9,sg:2d652e51a8c24ebd9f782058fdcc50a3,-97.393244,32.678783,484391022023,5,False,False,-97.39040940000001,32.7411594,Electronics and Appliance Stores
10,sg:d55592df24214daea3646362c602946d,-97.387905,32.740787,484391022023,4,False,False,-97.39040940000001,32.7411594,Home Furnishings Stores
11,sg:4ef662c3fdca47a6a006cf6a0f407df3,-97.359868,32.726735999999995,484391022023,5,False,False,-97.39040940000001,32.7411594,Offices of Other Health Practitioners
12,sg:6eaedb3786894cc284d0d9984d537cac,-97.431911,32.750892,484391022023,6,False,False,-97.39040940000001,32.7411594,Restaurants and Other Eating Places
13,sg:ad49cf888a25420986ad040f630c57b8,-97.39089799999999,32.738735999999996,484391022023,4,False,False,-97.39040940000001,32.7411594,Other Miscellaneous Store Retailers
14,sg:dc1023597d254e09ba099da3072042af,-97.349525,32.782615,484391022023,4,False,False,-97.39040940000001,32.7411594,"Museums, Historical Sites, and Similar Institutions"
15,sg:e6aad66e55244723bcdf058f171f35f9,-97.347166,32.732929999999996,484391022023,4,False,False,-97.39040940000001,32.7411594,"Justice, Public Order, and Safety Activities"
16,sg:0086663a2e1d4890bcf8cfc47f7e67a9,-97.315713,32.911623999999996,484391022023,8,False,False,-97.39040940000001,32.7411594,Health and Personal Care Stores
17,sg:2dcbb58f3e154a9f8de630092cf30201,-97.28824,32.872467,484391139182,5,False,False,-97.2859729,32.8743589,"General Merchandise Stores, including Warehouse Clubs and Supercenters"
18,sg:97a2d9375a634672a55af2b761b7fc04,-97.290651,32.87327,484391139182,15,False,True,-97.2859729,32.8743589,Gasoline Stations
19,sg:5fd67e209fbf4db1a70debbccfa95079,-97.267606,32.874790000000004,484391139182,4,False,False,-97.2859729,32.8743589,Health and Personal Care Stores
20,sg:3ac4c0d50b664b6ba43b07c37a87e001,-97.40379399999999,32.797539,484391139182,4,False,False,-97.2859729,32.8743589,Personal Care Services
21,sg:23435c6592904ec591df82e27f07f713,-97.404042,32.797579999999996,484391139182,4,False,False,-97.2859729,32.8743589,"Agencies, Brokerages, and Other Insurance Related Activities"
22,sg:c2c34d0bc2bd494a9cda4e738a4a2454,-97.2905,32.873207,484391139182,6,False,False,-97.2859729,32.8743589,Gasoline Stations
23,sg:e3dcf31e176843b09beaba5839b26d89,-97.300875,32.87227,484391139182,4,False,False,-97.2859729,32.8743589,Child Day Care Services
24,sg:3731f457a0194a569a444253deae1e1e,-97.387559,32.728442,484391115292,4,False,False,-97.1784842,32.695764600000004,Offices of Dentists
25,sg:e7315ceb67a84662ac80748c02b1e20f,-97.171051,32.757056,484391115292,6,False,False,-97.1784842,32.695764600000004,Motion Picture and Video Industries
26,sg:101da1342c68431188fb1e93376ce211,-97.331748,32.755717,484391115292,4,False,False,-97.1784842,32.695764600000004,Restaurants and Other Eating Places
27,sg:3f9e9e2da7174e2ba74f9f0bcf34e257,-97.311824,32.824856,482511304082,7,False,False,-97.102626,32.4825922,Gasoline Stations
28,sg:400ef64dba5a41349b32432904c3034f,-97.245639,32.731533,484391108074,6,True,False,-97.49600179999999,32.7283608,Grocery Stores
29,sg:ad75fd8d9adb43eb897eb5a1038d95ff,-97.4911,32.725761999999996,484391108074,4,True,False,-97.49600179999999,32.7283608,Automotive Repair and Maintenance
30,sg:03afc03f62e345a793c2d82b6fd787d7,-97.339996,32.730297,484391108074,4,True,False,-97.49600179999999,32.7283608,Restaurants and Other Eating Places
31,sg:7da403fd69c046e19da7a4bb21940433,-97.31009499999999,32.933887,484391108074,4,True,False,-97.49600179999999,32.7283608,Automotive Repair and Maintenance
