Restaurants and Other Eating Places,1023
Gasoline Stations,457
Lessors of Real Estate,321
Elementary and Secondary Schools,304
Grocery Stores,273
"Museums, Historical Sites, and Similar Institutions",233
Other Amusement and Recreation Industries,187
"General Merchandise Stores, including Warehouse Clubs and Supercenters",186
Health and Personal Care Stores,138
Child Day Care Services,104
Depository Credit Intermediation,98
"Sporting Goods, Hobby, and Musical Instrument Stores",92
Traveler Accommodation,88
Building Material and Supplies Dealers,86
Religious Organizations,70
Other Miscellaneous Store Retailers,57
Electronics and Appliance Stores,57
"Automotive Parts, Accessories, and Tire Stores",53
Automotive Repair and Maintenance,52
Clothing Stores,51
Offices of Physicians,45
Department Stores,44
Personal Care Services,38
Used Merchandise Stores,36
"Office Supplies, Stationery, and Gift Stores",35
Services to Buildings and Dwellings,35
Specialty Food Stores,31
Automobile Dealers,29
"Colleges, Universities, and Professional Schools",27
Home Health Care Services,21
Home Furnishings Stores,20
Florists,20
Book Stores and News Dealers,19
"Beer, Wine, and Liquor Stores",16
Furniture Stores,16
"Jewelry, Luggage, and Leather Goods Stores",16
Wired and Wireless Telecommunications Carriers,15
Offices of Other Health Practitioners,14
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",13
"Agencies, Brokerages, and Other Insurance Related Activities",13
General Medical and Surgical Hospitals,11
Offices of Dentists,11
Outpatient Care Centers,10
Drycleaning and Laundry Services,10
Other Financial Investment Activities,10
Support Activities for Road Transportation,9
Support Activities for Air Transportation,9
Spectator Sports,9
Junior Colleges,9
Drinking Places (Alcoholic Beverages),9
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,9
Other Information Services,8
Bakeries and Tortilla Manufacturing,8
Other Personal Services,7
Couriers and Express Delivery Services,7
Shoe Stores,7
Motion Picture and Video Industries,7
"Other Professional, Scientific, and Technical Services",7
Individual and Family Services,5
Waste Treatment and Disposal,5
Travel Arrangement and Reservation Services,5
Other Miscellaneous Manufacturing,5
Building Equipment Contractors,5
"Justice, Public Order, and Safety Activities",4
Gambling Industries,4
Automotive Equipment Rental and Leasing,4
Consumer Goods Rental,4
"Machinery, Equipment, and Supplies Merchant Wholesalers",3
Technical and Trade Schools,3
Postal Service,3
Personal and Household Goods Repair and Maintenance,3
Amusement Parks and Arcades,3
Other Motor Vehicle Dealers,3
Nursing Care Facilities (Skilled Nursing Facilities),2
Administration of Economic Programs,2
Lumber and Other Construction Materials Merchant Wholesalers,2
Offices of Real Estate Agents and Brokers,2
Commercial and Industrial Machinery and Equipment Rental and Leasing,2
Nondepository Credit Intermediation,2
"Executive, Legislative, and Other General Government Support",2
Other Schools and Instruction,2
Miscellaneous Durable Goods Merchant Wholesalers,1
Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,1
nan,1
Performing Arts Companies,1
RV (Recreational Vehicle) Parks and Recreational Camps,1
Educational Support Services,1
Printing and Related Support Activities,1
nan,1
Specialty (except Psychiatric and Substance Abuse) Hospitals,1
nan,1
Warehousing and Storage,1
nan,1
nan,1
nan,1
nan,1
Other Leather and Allied Product Manufacturing,1
nan,1
nan,1
Death Care Services,1
Medical and Diagnostic Laboratories,1
Other Transit and Ground Passenger Transportation,1
"Community Food and Housing, and Emergency and Other Relief Services",1
Taxi and Limousine Service,1
