Restaurants and Other Eating Places,95
Lessors of Real Estate,77
Grocery Stores,58
"General Merchandise Stores, including Warehouse Clubs and Supercenters",54
Gasoline Stations,46
Health and Personal Care Stores,34
Other Amusement and Recreation Industries,25
"Museums, Historical Sites, and Similar Institutions",24
Building Material and Supplies Dealers,16
"Sporting Goods, Hobby, and Musical Instrument Stores",13
Other Miscellaneous Store Retailers,10
Department Stores,7
General Medical and Surgical Hospitals,6
Traveler Accommodation,5
Depository Credit Intermediation,4
Used Merchandise Stores,4
Electronics and Appliance Stores,3
"Automotive Parts, Accessories, and Tire Stores",3
Automobile Dealers,3
"Office Supplies, Stationery, and Gift Stores",2
"Beer, Wine, and Liquor Stores",2
Automotive Repair and Maintenance,2
"Justice, Public Order, and Safety Activities",2
Other Financial Investment Activities,2
Religious Organizations,2
Personal Care Services,2
Services to Buildings and Dwellings,2
Support Activities for Air Transportation,2
Shoe Stores,1
Elementary and Secondary Schools,1
Management of Companies and Enterprises,1
Printing and Related Support Activities,1
Other Motor Vehicle Dealers,1
Other Personal Services,1
Junior Colleges,1
Drinking Places (Alcoholic Beverages),1
Outpatient Care Centers,1
Child Day Care Services,1
Offices of Other Health Practitioners,1
Offices of Physicians,1
Specialty Food Stores,1
