Restaurants and Other Eating Places,2963
"Museums, Historical Sites, and Similar Institutions",1105
Other Amusement and Recreation Industries,491
Grocery Stores,394
Elementary and Secondary Schools,325
Gasoline Stations,308
"Sporting Goods, Hobby, and Musical Instrument Stores",284
Religious Organizations,241
Child Day Care Services,230
Clothing Stores,228
Health and Personal Care Stores,204
Other Miscellaneous Store Retailers,204
Traveler Accommodation,185
Offices of Physicians,143
Used Merchandise Stores,119
"General Merchandise Stores, including Warehouse Clubs and Supercenters",119
"Automotive Parts, Accessories, and Tire Stores",112
"Office Supplies, Stationery, and Gift Stores",108
Lessors of Real Estate,96
Automotive Repair and Maintenance,94
Building Material and Supplies Dealers,93
Florists,91
Electronics and Appliance Stores,89
Offices of Other Health Practitioners,86
Personal Care Services,79
Automobile Dealers,69
Specialty Food Stores,64
"Colleges, Universities, and Professional Schools",61
"Beer, Wine, and Liquor Stores",61
Depository Credit Intermediation,55
Book Stores and News Dealers,52
Furniture Stores,52
"Jewelry, Luggage, and Leather Goods Stores",51
Home Health Care Services,47
Offices of Dentists,40
Other Personal Services,40
Motion Picture and Video Industries,37
Department Stores,34
Services to Buildings and Dwellings,33
Shoe Stores,33
Bakeries and Tortilla Manufacturing,30
Drinking Places (Alcoholic Beverages),28
"Agencies, Brokerages, and Other Insurance Related Activities",28
Other Information Services,28
Other Schools and Instruction,28
"Justice, Public Order, and Safety Activities",27
Home Furnishings Stores,25
"Other Professional, Scientific, and Technical Services",22
Other Motor Vehicle Dealers,21
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,20
Building Equipment Contractors,20
Automotive Equipment Rental and Leasing,19
Wired and Wireless Telecommunications Carriers,18
General Medical and Surgical Hospitals,18
"Executive, Legislative, and Other General Government Support",17
Other Financial Investment Activities,17
Drycleaning and Laundry Services,17
Couriers and Express Delivery Services,16
Medical and Diagnostic Laboratories,14
Support Activities for Road Transportation,13
Outpatient Care Centers,13
Amusement Parks and Arcades,12
Support Activities for Air Transportation,12
Printing and Related Support Activities,11
Other Miscellaneous Manufacturing,11
Individual and Family Services,10
Drugs and Druggists' Sundries Merchant Wholesalers,10
Beverage Manufacturing,10
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",9
Rail Transportation,9
Waste Treatment and Disposal,8
Spectator Sports,8
Travel Arrangement and Reservation Services,7
Nondepository Credit Intermediation,7
Lumber and Other Construction Materials Merchant Wholesalers,7
Gambling Industries,6
Technical and Trade Schools,6
National Security and International Affairs,5
Personal and Household Goods Repair and Maintenance,5
Junior Colleges,5
"Machinery, Equipment, and Supplies Merchant Wholesalers",5
Offices of Real Estate Agents and Brokers,5
Administration of Economic Programs,4
"Electric Power Generation, Transmission and Distribution",4
RV (Recreational Vehicle) Parks and Recreational Camps,4
Consumer Goods Rental,4
"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",3
Grocery and Related Product Merchant Wholesalers,3
Warehousing and Storage,2
Other Leather and Allied Product Manufacturing,2
Activities Related to Credit Intermediation,2
Specialized Freight Trucking,2
Taxi and Limousine Service,2
Postal Service,2
nan,1
nan,1
nan,1
nan,1
nan,1
nan,1
nan,1
nan,1
nan,1
nan,1
Grantmaking and Giving Services,1
nan,1
nan,1
nan,1
nan,1
nan,1
nan,1
nan,1
nan,1
nan,1
Insurance Carriers,1
nan,1
Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,1
nan,1
Interurban and Rural Bus Transportation,1
Professional and Commercial Equipment and Supplies Merchant Wholesalers,1
Death Care Services,1
nan,1
nan,1
nan,1
Special Food Services,1
Miscellaneous Durable Goods Merchant Wholesalers,1
nan,1
