,safegraph_place_id,longitude,latitude,cbg,visits,hotspot_origin,hotspot_destination,cbg_longitude,cbg_latitude,top_category
0,sg:02350a10068145b3b669432e43d520de,-73.986166,40.758621999999995,360610119002,6,True,True,-73.9874416,40.7579136,Traveler Accommodation
1,sg:5dbe0f30dd344991b6e22b3465ea59bf,-73.986589,40.758321,360610119002,4,True,False,-73.9874416,40.7579136,Restaurants and Other Eating Places
2,sg:5781ed0966b74a88990a82e1ade1d208,-73.988637,40.756566,360610119002,4,True,False,-73.9874416,40.7579136,Amusement Parks and Arcades
3,sg:70d89f870f294e108efa76ade6e12ca0,-73.985828,40.758604,360610119002,5,True,True,-73.9874416,40.7579136,Traveler Accommodation
4,sg:bc31e309ec3d4dd1a7360195a9836e4f,-73.959975,40.761927,360610119002,4,True,False,-73.9874416,40.7579136,Restaurants and Other Eating Places
5,sg:a2aadb5678a44d92b7a41e9512240f8a,-73.988628,40.760326,360610119002,4,True,False,-73.9874416,40.7579136,Restaurants and Other Eating Places
6,sg:e49eeb32acee4de0a7892d310a46f7cc,-73.96567399999999,40.754042,360610119002,4,True,False,-73.9874416,40.7579136,Restaurants and Other Eating Places
7,sg:3220a341848045a1addc497343ad3203,-73.987993,40.759232,360610119002,4,True,False,-73.9874416,40.7579136,Restaurants and Other Eating Places
8,sg:395ae08d8b544751a4c95e2ef4e573b7,-73.992087,40.753386,360610119002,4,True,False,-73.9874416,40.7579136,Other Miscellaneous Store Retailers
9,sg:306fa7ad7d354e6bbdf50fb5af8a8198,-73.990735,40.761377,360610119002,4,True,False,-73.9874416,40.7579136,Restaurants and Other Eating Places
10,sg:1b5fe119fc174c519623e4d9a18cb752,-73.987094,40.758368,360610119002,4,True,False,-73.9874416,40.7579136,"Office Supplies, Stationery, and Gift Stores"
11,sg:e057603c16df45c19d66fbf557cc5eef,-73.98796899999999,40.759356,360610119002,5,True,True,-73.9874416,40.7579136,Restaurants and Other Eating Places
12,sg:5e91b19a53ff4b7cbb30aeec7aa97e74,-73.988462,40.758717,360610119002,5,True,True,-73.9874416,40.7579136,Traveler Accommodation
13,sg:4bcaf0b568564082bbbcfbfc0e82763d,-73.990802,40.757911,360610119002,4,True,False,-73.9874416,40.7579136,Restaurants and Other Eating Places
14,sg:17f3090cce124c27b1096d0f5d3993c8,-73.98674399999999,40.756757,340350507011,5,False,True,-74.653696,40.5633422,Restaurants and Other Eating Places
15,sg:10eb98f03f11436695083f855f295168,-74.62593000000001,40.565793,340350507011,4,False,False,-74.653696,40.5633422,"Museums, Historical Sites, and Similar Institutions"
16,sg:92e784c9c377489192a8711afcb7a802,-74.648758,40.563234,340350507011,5,False,True,-74.653696,40.5633422,"Museums, Historical Sites, and Similar Institutions"
17,sg:1af51f863cb849b1aa38088b85dcf52c,-73.962049,40.766798,360610118003,4,False,False,-73.9615807,40.76639960000001,Other Amusement and Recreation Industries
18,sg:1ced196a51794fdd9e3d82e256c333ec,-73.99068100000001,40.752084,360470317013,4,False,False,-73.9502069,40.672976,"Museums, Historical Sites, and Similar Institutions"
19,sg:c0b6b34aed8848fe89c9e3750ac3cc17,-73.984539,40.720597,360470317013,4,False,False,-73.9502069,40.672976,Restaurants and Other Eating Places
20,sg:23673fdf742c45e599c45d58020e44f1,-73.978752,40.739274,360610066007,13,True,True,-73.9785564,40.738979,Other Amusement and Recreation Industries
21,sg:26d6d81fe3294e539f1c04d8c3face01,-73.979558,40.73757,360610066007,4,True,False,-73.9785564,40.738979,Restaurants and Other Eating Places
22,sg:06a22c72dad846e180cb495edeecf50a,-73.975449,40.753242,360610066007,4,True,False,-73.9785564,40.738979,"Sporting Goods, Hobby, and Musical Instrument Stores"
23,sg:6be9bbbe9981402f92f0ffcc3cf39252,-73.979125,40.743793,360610066007,4,True,False,-73.9785564,40.738979,Restaurants and Other Eating Places
24,sg:f692b9089951470585231b77315464fc,-73.948013,40.803669,360610066007,4,True,False,-73.9785564,40.738979,Building Material and Supplies Dealers
25,sg:2ffe34db43dc4a8bb7628a2c183cb715,-73.992126,40.724683,360610030022,4,True,False,-73.98697290000001,40.7233628,Clothing Stores
26,sg:cb649b04f55740dcaffd49e3aae989b9,-73.98553100000001,40.723538,360610030022,4,True,False,-73.98697290000001,40.7233628,Florists
27,sg:b7e5c517fcf64acba0e16fa6d99df4ea,-74.000314,40.740373999999996,360610030022,4,True,False,-73.98697290000001,40.7233628,Used Merchandise Stores
28,sg:babfe4f35abf4565bc02851ea1e9cec6,-73.986478,40.726432,360610030022,4,True,False,-73.98697290000001,40.7233628,Restaurants and Other Eating Places
29,sg:d4ac850139bd4b44a42f517f10bf701d,-73.984812,40.723555,360610030022,4,True,False,-73.98697290000001,40.7233628,Other Amusement and Recreation Industries
30,sg:06acc6a78a244897affff06a9122fae2,-73.98098900000001,40.739819,360610030022,4,True,False,-73.98697290000001,40.7233628,Religious Organizations
31,sg:6fab22c7ae914e64b36f0e8ec8a78e9e,-73.986261,40.724383,360610030022,4,True,False,-73.98697290000001,40.7233628,Child Day Care Services
32,sg:acbfd992c7294b4793bdaaa45d92449c,-73.99848100000001,40.718158,360610030022,4,True,False,-73.98697290000001,40.7233628,Restaurants and Other Eating Places
33,sg:33dfac06db9c4cd8882e4320bbf68462,-73.98589399999999,40.723803000000004,360610030022,4,True,False,-73.98697290000001,40.7233628,Book Stores and News Dealers
34,sg:c4e2c4dea07c4557b1416a25dfdb7ef4,-73.98779300000001,40.723684999999996,360610030022,4,True,False,-73.98697290000001,40.7233628,Restaurants and Other Eating Places
35,sg:afb119df86184fc782579ee3e204c09e,-73.950226,40.809606,360610030022,4,True,False,-73.98697290000001,40.7233628,"Automotive Parts, Accessories, and Tire Stores"
36,sg:9299766f72ad43aea946c25e87ea1a7e,-73.98387,40.723278,360610030022,4,True,False,-73.98697290000001,40.7233628,"Sporting Goods, Hobby, and Musical Instrument Stores"
37,sg:508e2743985e4819b454b93d2134aa9c,-73.98225500000001,40.738273,360610030022,4,True,False,-73.98697290000001,40.7233628,Used Merchandise Stores
38,sg:1d729310239244ac9bc06f232fb7a80a,-73.987774,40.723746999999996,360610030022,6,True,True,-73.98697290000001,40.7233628,"Sporting Goods, Hobby, and Musical Instrument Stores"
39,sg:1715e9c000f045b4a35d1e92177cd277,-73.98656899999999,40.72632,360610030022,4,True,False,-73.98697290000001,40.7233628,Restaurants and Other Eating Places
40,sg:1f81ab18d09f44a880243caaa3234300,-73.987886,40.72374,360610030022,4,True,False,-73.98697290000001,40.7233628,Restaurants and Other Eating Places
41,sg:3bb3796c4c5241f2beaef0e4ee1e0c88,-73.98430400000001,40.779476,360610159003,6,True,True,-73.9872496,40.779827399999995,Restaurants and Other Eating Places
42,sg:15eeb9d859b340369f58dedf36bd2f21,-73.986823,40.755221999999996,360610159003,4,True,False,-73.9872496,40.779827399999995,Restaurants and Other Eating Places
43,sg:0f1e789c858b4cf88e792ab3aa96954f,-73.986101,40.779015,360610159003,4,True,False,-73.9872496,40.779827399999995,Offices of Physicians
44,sg:054b1f52e17d44ddbd305558c7f38fba,-73.987372,40.779028000000004,360610159003,4,True,False,-73.9872496,40.779827399999995,Other Amusement and Recreation Industries
45,sg:d882c57c699a4e908bf32b6e1f90872a,-73.982241,40.778679,360610159003,6,True,True,-73.9872496,40.779827399999995,Restaurants and Other Eating Places
46,sg:decc7abb857746b58fc9f8c9ae5aabaa,-73.987545,40.779672,360610159003,4,True,False,-73.9872496,40.779827399999995,Other Personal Services
47,sg:3dff1bd0a31d4b40b393f8c1dd651f10,-73.95145600000001,40.787499,420950142005,4,False,False,-75.2306159,40.6938615,"Museums, Historical Sites, and Similar Institutions"
48,sg:3e9e2a789bad4bcdab7e4fe314ffb0c6,-73.985066,40.753826000000004,360050147024,4,False,False,-73.9057087,40.837475,Restaurants and Other Eating Places
49,sg:3f5cf9d98cb74d30adb27a1671b7613b,-73.98149000000001,40.72684,360610026022,4,True,False,-73.9798066,40.724892100000005,Other Amusement and Recreation Industries
50,sg:711aea9e3fe94e79a89a7cdd436ca20c,-73.980197,40.724007,360610026022,4,True,False,-73.9798066,40.724892100000005,Restaurants and Other Eating Places
51,sg:98120363247544f69c2f6e62c2cb942a,-73.978985,40.724284000000004,360610026022,6,True,True,-73.9798066,40.724892100000005,Restaurants and Other Eating Places
52,sg:5357a39561f14dfeb999c170e5c4869e,-73.984444,40.724557,360610026022,4,True,False,-73.9798066,40.724892100000005,"General Merchandise Stores, including Warehouse Clubs and Supercenters"
53,sg:e9fe35d245924cb1be33eae1a9180228,-73.98159799999999,40.730666,360610026022,4,True,False,-73.9798066,40.724892100000005,Restaurants and Other Eating Places
54,sg:4d65a6b95c7d4a789dd0eeb8943465dd,-73.979969,40.727778,360610026022,4,True,False,-73.9798066,40.724892100000005,Restaurants and Other Eating Places
55,sg:c2c8a317d0c14169a90f6cceb1a920d9,-73.982674,40.727475,360610026022,4,True,False,-73.9798066,40.724892100000005,Restaurants and Other Eating Places
56,sg:b325ae3d4f61461eb9e5b0c7208ee60d,-74.006936,40.711521000000005,360610026022,4,True,False,-73.9798066,40.724892100000005,Used Merchandise Stores
57,sg:7bcd1020be224496a390f0b7d069176a,-73.981273,40.724806,360610026022,4,True,False,-73.9798066,40.724892100000005,Restaurants and Other Eating Places
58,sg:8803edda8fc44a9f97a9853c0c4169fd,-73.980086,40.727109999999996,360610026022,4,True,False,-73.9798066,40.724892100000005,Restaurants and Other Eating Places
59,sg:a77b4c5a93374c01836db2b13f6ec01f,-73.97885500000001,40.724685,360610026022,4,True,False,-73.9798066,40.724892100000005,Specialty Food Stores
60,sg:15142727ee214bee94a24ef767ee5841,-74.0076,40.707648,360610026022,4,True,False,-73.9798066,40.724892100000005,Restaurants and Other Eating Places
61,sg:424eb30d0e5943708f87282aed9582db,-73.991802,40.754137,360594073011,6,False,True,-73.5975662,40.732288,Restaurants and Other Eating Places
62,sg:1a047099c6bf49a6aa0702b5f3666eed,-73.98798599999999,40.751466,360594073011,4,False,False,-73.5975662,40.732288,Restaurants and Other Eating Places
63,sg:4b948bc2ce6341b49b0c51c0e182ef32,-74.016615,40.703472999999995,360610163003,4,False,False,-73.98147349999999,40.7827177,"Museums, Historical Sites, and Similar Institutions"
64,sg:015388d1cea341d8b4bc06eea3852302,-73.98134,40.782435,360610163003,4,False,False,-73.98147349999999,40.7827177,Traveler Accommodation
65,sg:8619ec92615d40b59d9807ff6a908825,-73.974542,40.77874,360610163003,4,False,False,-73.98147349999999,40.7827177,"Sporting Goods, Hobby, and Musical Instrument Stores"
66,sg:4bc885696ff143298d891abf2ae6c857,-73.95119100000001,40.777983,360610136004,4,True,False,-73.9501316,40.7717083,Other Amusement and Recreation Industries
67,sg:99723743841649ceae027060fcb24466,-73.951198,40.771986,360610136004,4,True,False,-73.9501316,40.7717083,Offices of Dentists
68,sg:ebc820fe078547f3b63ba331acd7bc2f,-73.948235,40.774046999999996,360610136004,4,True,False,-73.9501316,40.7717083,Restaurants and Other Eating Places
69,sg:656d4a8c9c2341999b32843fd4e13910,-73.953956,40.774458,360610136004,4,True,False,-73.9501316,40.7717083,Restaurants and Other Eating Places
70,sg:433c110caed14580818259e6181f78fe,-73.977236,40.764635999999996,360610136004,4,True,False,-73.9501316,40.7717083,Other Amusement and Recreation Industries
71,sg:bc82503241244d0087e67749372b8b71,-73.981424,40.761484,360610136004,4,True,False,-73.9501316,40.7717083,Restaurants and Other Eating Places
72,sg:7b03477064944df6ba1307f0bee521f9,-73.95269,40.771605,360610136004,4,True,False,-73.9501316,40.7717083,Health and Personal Care Stores
73,sg:efa4ac6aeb67451a9753065c39ba4c2f,-73.955046,40.768592,360610136004,4,True,False,-73.9501316,40.7717083,Restaurants and Other Eating Places
74,sg:230c71c220ff4452aefc82deee0f1c30,-73.95281700000001,40.77278,360610136004,4,True,False,-73.9501316,40.7717083,Offices of Other Health Practitioners
75,sg:6b1dab9cc5ca4a0cb652e3e9c4294a62,-74.010797,40.70745,360470336002,4,False,False,-74.0049761,40.5741992,Department Stores
76,sg:068515a7da3f41e9813fc9783a3de274,-73.99877099999999,40.727615,360470336002,5,False,True,-74.0049761,40.5741992,Grocery Stores
77,sg:78eb11f44ef5489e8ffa994a3df2fcf3,-73.94572099999999,40.79225,360610172004,4,True,False,-73.9452475,40.7922223,Restaurants and Other Eating Places
78,sg:d8362972ff7f4ddda9720e4d42ce6718,-73.955458,40.780025,360610172004,4,True,False,-73.9452475,40.7922223,Other Miscellaneous Store Retailers
79,sg:45af43df5d2c42af96849a979142c701,-73.945204,40.792925,360610172004,4,True,False,-73.9452475,40.7922223,Religious Organizations
80,sg:6f1264ea50d24c609b7220c2e628a159,-73.94573100000001,40.792264,360610172004,5,True,True,-73.9452475,40.7922223,Restaurants and Other Eating Places
81,sg:3fba99b60aac4cf5883acafacd41ac07,-73.94421700000001,40.792713,360610172004,4,True,False,-73.9452475,40.7922223,Clothing Stores
82,sg:a7bf8e4f24844b3da6e3b918337bc297,-73.972957,40.785705,360610152002,4,True,False,-73.9453046,40.7805561,Restaurants and Other Eating Places
83,sg:ea9d7f816d504ee7ac9f8888bd2b3bc2,-73.944611,40.779714,360610152002,9,True,True,-73.9453046,40.7805561,Health and Personal Care Stores
84,sg:a30c53eecf8d4661ae79eeeadcb6300e,-73.944902,40.779747,360610152002,4,True,False,-73.9453046,40.7805561,Offices of Physicians
85,sg:1b73702beec64d93a774943f3a3d50b2,-73.948126,40.779102,360610152002,5,True,True,-73.9453046,40.7805561,Grocery Stores
86,sg:b474c05cfa2543ea937a78de37c81c88,-73.94953000000001,40.785655,360610152002,4,True,False,-73.9453046,40.7805561,Outpatient Care Centers
87,sg:436ddf4750234299996aa567ebe3647b,-73.953953,40.774425,360610152002,4,True,False,-73.9453046,40.7805561,Restaurants and Other Eating Places
88,sg:a00da3a1ad294be79fee7e06eb2cb354,-73.98078100000001,40.778067,360610152002,4,True,False,-73.9453046,40.7805561,Restaurants and Other Eating Places
89,sg:ab82e977de4d4304aa64b55c62bddf46,-73.947365,40.783353999999996,360610152002,4,True,False,-73.9453046,40.7805561,Other Miscellaneous Store Retailers
90,sg:7f7f04255a9e451199bcca71dcde4e42,-73.946649,40.780297999999995,360610152002,4,True,False,-73.9453046,40.7805561,Restaurants and Other Eating Places
91,sg:1d284297c4f0448e87ebdb6219e83fe1,-73.945973,40.780081,360610152002,6,True,True,-73.9453046,40.7805561,Elementary and Secondary Schools
92,sg:8937eb2a59f44ff5ace858b17c259b2c,-73.9459,40.780938,360610152002,5,True,True,-73.9453046,40.7805561,Child Day Care Services
93,sg:49b0e27aa3074418ac7b2626c0ff60d3,-73.977827,40.784144,360610152002,4,True,False,-73.9453046,40.7805561,Restaurants and Other Eating Places
94,sg:bfb4cfa7c0524ab5b72ccf652770df31,-73.970288,40.784985999999996,360610152002,4,True,False,-73.9453046,40.7805561,Offices of Physicians
95,sg:7a98028c96ff427ba630462b10c620df,-73.945954,40.780159000000005,360610152002,8,True,True,-73.9453046,40.7805561,Traveler Accommodation
96,sg:49a111a140644ee49e718a0310c8f1d9,-74.00376800000001,40.74562,360610152002,4,True,False,-73.9453046,40.7805561,Child Day Care Services
