Restaurants and Other Eating Places,1472
"Museums, Historical Sites, and Similar Institutions",482
Grocery Stores,358
Other Amusement and Recreation Industries,342
Elementary and Secondary Schools,213
Child Day Care Services,198
Religious Organizations,149
Health and Personal Care Stores,144
Gasoline Stations,116
"General Merchandise Stores, including Warehouse Clubs and Supercenters",102
Lessors of Real Estate,86
Personal Care Services,79
"Sporting Goods, Hobby, and Musical Instrument Stores",77
Offices of Physicians,76
Traveler Accommodation,70
Automotive Repair and Maintenance,60
"Beer, Wine, and Liquor Stores",53
Other Miscellaneous Store Retailers,52
Used Merchandise Stores,50
Building Material and Supplies Dealers,50
Clothing Stores,43
Offices of Other Health Practitioners,40
"Automotive Parts, Accessories, and Tire Stores",39
Automobile Dealers,39
Offices of Dentists,31
Florists,31
Specialty Food Stores,30
Book Stores and News Dealers,29
"Colleges, Universities, and Professional Schools",28
"Office Supplies, Stationery, and Gift Stores",26
Department Stores,24
Drinking Places (Alcoholic Beverages),23
Home Health Care Services,21
Furniture Stores,21
Electronics and Appliance Stores,20
General Medical and Surgical Hospitals,18
Depository Credit Intermediation,18
Other Information Services,17
Services to Buildings and Dwellings,15
Outpatient Care Centers,13
"Justice, Public Order, and Safety Activities",12
Amusement Parks and Arcades,12
Wired and Wireless Telecommunications Carriers,11
Shoe Stores,11
Individual and Family Services,11
Support Activities for Road Transportation,10
Spectator Sports,9
Home Furnishings Stores,9
Other Personal Services,9
Other Motor Vehicle Dealers,9
Medical and Diagnostic Laboratories,9
"Agencies, Brokerages, and Other Insurance Related Activities",9
Bakeries and Tortilla Manufacturing,8
Postal Service,6
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",6
"Jewelry, Luggage, and Leather Goods Stores",6
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,6
"Other Professional, Scientific, and Technical Services",6
Automotive Equipment Rental and Leasing,6
Junior Colleges,4
Lumber and Other Construction Materials Merchant Wholesalers,4
RV (Recreational Vehicle) Parks and Recreational Camps,4
Beverage Manufacturing,4
Waste Treatment and Disposal,4
Building Equipment Contractors,3
Gambling Industries,3
Technical and Trade Schools,3
Other Miscellaneous Manufacturing,3
"Executive, Legislative, and Other General Government Support",3
Other Financial Investment Activities,3
Motion Picture and Video Industries,3
Other Schools and Instruction,2
Specialty (except Psychiatric and Substance Abuse) Hospitals,2
Other Transit and Ground Passenger Transportation,2
Support Activities for Air Transportation,2
Administration of Economic Programs,2
Couriers and Express Delivery Services,2
Activities Related to Credit Intermediation,2
General Rental Centers,1
nan,1
Psychiatric and Substance Abuse Hospitals,1
Consumer Goods Rental,1
Drycleaning and Laundry Services,1
Miscellaneous Durable Goods Merchant Wholesalers,1
Specialized Freight Trucking,1
nan,1
Chemical and Allied Products Merchant Wholesalers,1
Nondepository Credit Intermediation,1
nan,1
Printing and Related Support Activities,1
"Machinery, Equipment, and Supplies Merchant Wholesalers",1
nan,1
Rail Transportation,1
