Restaurants and Other Eating Places,1659
Other Amusement and Recreation Industries,325
Elementary and Secondary Schools,294
Grocery Stores,291
"Museums, Historical Sites, and Similar Institutions",232
Offices of Physicians,202
Gasoline Stations,194
Child Day Care Services,191
Lessors of Real Estate,184
Health and Personal Care Stores,172
"Sporting Goods, Hobby, and Musical Instrument Stores",164
Building Material and Supplies Dealers,158
Religious Organizations,140
Other Miscellaneous Store Retailers,137
"General Merchandise Stores, including Warehouse Clubs and Supercenters",129
"Automotive Parts, Accessories, and Tire Stores",128
Traveler Accommodation,125
Offices of Other Health Practitioners,118
Depository Credit Intermediation,100
Automobile Dealers,93
Used Merchandise Stores,83
Electronics and Appliance Stores,79
Clothing Stores,77
Automotive Repair and Maintenance,75
"Office Supplies, Stationery, and Gift Stores",69
Offices of Dentists,57
Home Health Care Services,56
Specialty Food Stores,54
Services to Buildings and Dwellings,44
Personal Care Services,43
Home Furnishings Stores,36
Florists,35
"Colleges, Universities, and Professional Schools",34
Furniture Stores,33
Other Personal Services,32
Department Stores,32
Motion Picture and Video Industries,26
"Beer, Wine, and Liquor Stores",26
"Executive, Legislative, and Other General Government Support",24
Book Stores and News Dealers,23
Building Equipment Contractors,21
"Other Professional, Scientific, and Technical Services",21
"Agencies, Brokerages, and Other Insurance Related Activities",21
Wired and Wireless Telecommunications Carriers,20
Drinking Places (Alcoholic Beverages),19
Medical and Diagnostic Laboratories,19
"Justice, Public Order, and Safety Activities",19
Outpatient Care Centers,17
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,16
"Jewelry, Luggage, and Leather Goods Stores",16
General Medical and Surgical Hospitals,16
Shoe Stores,15
Miscellaneous Durable Goods Merchant Wholesalers,14
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",13
Lumber and Other Construction Materials Merchant Wholesalers,13
Waste Treatment and Disposal,13
Other Motor Vehicle Dealers,12
Other Miscellaneous Manufacturing,12
Other Schools and Instruction,12
Amusement Parks and Arcades,11
Other Information Services,11
Automotive Equipment Rental and Leasing,10
Drycleaning and Laundry Services,10
Support Activities for Road Transportation,10
Other Financial Investment Activities,9
Drugs and Druggists' Sundries Merchant Wholesalers,9
Printing and Related Support Activities,9
Couriers and Express Delivery Services,9
Individual and Family Services,8
Bakeries and Tortilla Manufacturing,8
Beverage Manufacturing,7
"Machinery, Equipment, and Supplies Merchant Wholesalers",6
Junior Colleges,6
Postal Service,6
Support Activities for Air Transportation,5
Administration of Economic Programs,5
Nondepository Credit Intermediation,5
Spectator Sports,4
Consumer Goods Rental,4
"Electric Power Generation, Transmission and Distribution",3
Nursing Care Facilities (Skilled Nursing Facilities),3
Specialized Freight Trucking,3
Personal and Household Goods Repair and Maintenance,3
RV (Recreational Vehicle) Parks and Recreational Camps,2
"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",2
Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,2
Technical and Trade Schools,2
Gambling Industries,2
Psychiatric and Substance Abuse Hospitals,2
Chemical and Allied Products Merchant Wholesalers,2
Offices of Real Estate Agents and Brokers,2
nan,1
nan,1
Travel Arrangement and Reservation Services,1
Professional and Commercial Equipment and Supplies Merchant Wholesalers,1
nan,1
nan,1
Administration of Human Resource Programs,1
nan,1
"Foundation, Structure, and Building Exterior Contractors",1
Insurance Carriers,1
nan,1
Interurban and Rural Bus Transportation,1
Commercial and Industrial Machinery and Equipment Rental and Leasing,1
nan,1
nan,1
Grocery and Related Product Merchant Wholesalers,1
nan,1
Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,1
nan,1
National Security and International Affairs,1
Warehousing and Storage,1
nan,1
nan,1
Taxi and Limousine Service,1
Rail Transportation,1
