,safegraph_place_id,longitude,latitude,cbg,visits,hotspot_origin,hotspot_destination,cbg_longitude,cbg_latitude,top_category
0,sg:0d93a821d669457bae4deda743d668a1,-112.055264,33.552696000000005,40210002111,4,False,False,-111.5353027,33.1533494,"Office Supplies, Stationery, and Gift Stores"
1,sg:1df7d883bda34352a49928c686ccd30b,-111.991629,33.687409,40136150002,4,True,False,-111.9999156,33.6918454,Offices of Other Health Practitioners
2,sg:cbd9deb24eac4cfc80e4c94752d75bdd,-111.978183,33.639851,40136150002,6,True,True,-111.9999156,33.6918454,Restaurants and Other Eating Places
3,sg:f18ec28a0ce2459ab48faa2726325cdf,-111.97648799999999,33.601743,40136150002,4,True,False,-111.9999156,33.6918454,Home Furnishings Stores
4,sg:eaa4e4636a1e4b088480721ebc3ad4b4,-112.06881399999999,33.562940999999995,40136150002,4,True,False,-111.9999156,33.6918454,Elementary and Secondary Schools
5,sg:bb2b6845d1844ccd9e4fe1904e201882,-111.99621499999999,33.511947,40136150002,4,True,False,-111.9999156,33.6918454,Gasoline Stations
6,sg:6a7d0bb2bd4444759b11163b4552d8e1,-111.97447700000001,33.674308,40136150002,36,True,True,-111.9999156,33.6918454,Department Stores
7,sg:10acc55222014ced907bfb3241b7c873,-111.978753,33.677358,40136150002,5,True,True,-111.9999156,33.6918454,Health and Personal Care Stores
8,sg:42828e051bc240b695c05893907111c6,-112.00792,33.679484,40136150002,5,True,True,-111.9999156,33.6918454,Elementary and Secondary Schools
9,sg:367c824db9444e5facec4136b9823cb7,-111.9747,33.678647999999995,40136150002,14,True,True,-111.9999156,33.6918454,Grocery Stores
10,sg:a37910b84690463fb7a03637fc0f458f,-111.97076899999999,33.677991,40136150002,8,True,True,-111.9999156,33.6918454,Other Miscellaneous Store Retailers
11,sg:81d4fa0430c34d70965f7fdb4be20740,-111.97671000000001,33.676034,40136150002,4,True,False,-111.9999156,33.6918454,Restaurants and Other Eating Places
12,sg:acbbd0ab7fd44fbfb814c0d7d6404685,-111.974476,33.674284,40136150002,4,True,False,-111.9999156,33.6918454,Restaurants and Other Eating Places
13,sg:e2d803b94b614a65b7b15d01fcf09a77,-111.978632,33.583832,40136150002,4,True,False,-111.9999156,33.6918454,Restaurants and Other Eating Places
14,sg:e8015ddf39244c6d923ededb34c1a8fe,-111.97254199999999,33.675979,40136150002,5,True,True,-111.9999156,33.6918454,Health and Personal Care Stores
15,sg:30d158c4788b448291e941212a8adca9,-111.97588300000001,33.679521,40136150002,11,True,True,-111.9999156,33.6918454,Health and Personal Care Stores
16,sg:1cf864f9653d4fe2aa08d8670f7df306,-111.98186000000001,33.638552000000004,40136150002,23,True,True,-111.9999156,33.6918454,"General Merchandise Stores, including Warehouse Clubs and Supercenters"
17,sg:9db0b5068a6a49a59e27ef15c332b4a2,-112.04710700000001,33.544689,40136150002,4,True,False,-111.9999156,33.6918454,Offices of Physicians
18,sg:f1822c6c8e574e178d06a9f331eb027a,-112.056719,33.501152000000005,40136150002,4,True,False,-111.9999156,33.6918454,Offices of Physicians
19,sg:3577c615ac94424bb8d360d2f8b75c17,-111.988956,33.692370000000004,40136150002,7,True,True,-111.9999156,33.6918454,Child Day Care Services
