Restaurants and Other Eating Places,649
Gasoline Stations,190
Elementary and Secondary Schools,189
Lessors of Real Estate,154
Other Amusement and Recreation Industries,114
Grocery Stores,105
"General Merchandise Stores, including Warehouse Clubs and Supercenters",94
"Museums, Historical Sites, and Similar Institutions",75
Health and Personal Care Stores,72
"Sporting Goods, Hobby, and Musical Instrument Stores",58
Child Day Care Services,44
Traveler Accommodation,40
Depository Credit Intermediation,38
Religious Organizations,37
Building Material and Supplies Dealers,35
Department Stores,31
Other Miscellaneous Store Retailers,24
Offices of Physicians,21
Automotive Repair and Maintenance,18
"Automotive Parts, Accessories, and Tire Stores",17
Electronics and Appliance Stores,15
Clothing Stores,13
Used Merchandise Stores,12
"Colleges, Universities, and Professional Schools",12
General Medical and Surgical Hospitals,11
Home Health Care Services,11
"Office Supplies, Stationery, and Gift Stores",11
Automobile Dealers,11
Offices of Other Health Practitioners,10
Other Information Services,9
Amusement Parks and Arcades,9
Services to Buildings and Dwellings,9
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,9
Offices of Dentists,8
Individual and Family Services,7
Motion Picture and Video Industries,6
Specialty Food Stores,6
Personal Care Services,6
Book Stores and News Dealers,5
Junior Colleges,5
"Beer, Wine, and Liquor Stores",5
Offices of Real Estate Agents and Brokers,5
Home Furnishings Stores,4
Shoe Stores,4
"Executive, Legislative, and Other General Government Support",4
"Jewelry, Luggage, and Leather Goods Stores",4
Spectator Sports,4
Furniture Stores,3
Postal Service,3
Other Motor Vehicle Dealers,3
"Agencies, Brokerages, and Other Insurance Related Activities",2
Drinking Places (Alcoholic Beverages),2
Other Schools and Instruction,2
Waste Treatment and Disposal,2
Couriers and Express Delivery Services,2
Support Activities for Air Transportation,2
Support Activities for Road Transportation,2
"Justice, Public Order, and Safety Activities",2
Wired and Wireless Telecommunications Carriers,2
Nondepository Credit Intermediation,2
Rail Transportation,1
"Other Professional, Scientific, and Technical Services",1
Building Equipment Contractors,1
Travel Arrangement and Reservation Services,1
Nursing Care Facilities (Skilled Nursing Facilities),1
nan,1
Other Transit and Ground Passenger Transportation,1
Personal and Household Goods Repair and Maintenance,1
"Machinery, Equipment, and Supplies Merchant Wholesalers",1
Bakeries and Tortilla Manufacturing,1
Automotive Equipment Rental and Leasing,1
Miscellaneous Durable Goods Merchant Wholesalers,1
Consumer Goods Rental,1
nan,1
"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",1
Administration of Human Resource Programs,1
Lumber and Other Construction Materials Merchant Wholesalers,1
Specialized Freight Trucking,1
Florists,1
Outpatient Care Centers,1
