Restaurants and Other Eating Places,135
"Museums, Historical Sites, and Similar Institutions",94
Other Amusement and Recreation Industries,91
Lessors of Real Estate,78
Elementary and Secondary Schools,50
Grocery Stores,48
"General Merchandise Stores, including Warehouse Clubs and Supercenters",20
Gasoline Stations,20
"Sporting Goods, Hobby, and Musical Instrument Stores",13
Child Day Care Services,11
Department Stores,9
Traveler Accommodation,9
Health and Personal Care Stores,8
Other Miscellaneous Store Retailers,8
"Colleges, Universities, and Professional Schools",8
Religious Organizations,7
Building Material and Supplies Dealers,7
Clothing Stores,7
"Office Supplies, Stationery, and Gift Stores",6
Florists,4
Spectator Sports,4
General Medical and Surgical Hospitals,4
Specialty Food Stores,3
Amusement Parks and Arcades,3
Electronics and Appliance Stores,3
Support Activities for Air Transportation,3
Motion Picture and Video Industries,2
Drinking Places (Alcoholic Beverages),2
Consumer Goods Rental,2
Home Furnishings Stores,2
Depository Credit Intermediation,2
Offices of Dentists,2
Services to Buildings and Dwellings,2
Furniture Stores,2
Other Information Services,2
Junior Colleges,2
Used Merchandise Stores,2
"Justice, Public Order, and Safety Activities",2
Other Personal Services,2
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",2
Offices of Physicians,2
Personal Care Services,2
Home Health Care Services,1
Beverage Manufacturing,1
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,1
Book Stores and News Dealers,1
Offices of Other Health Practitioners,1
"Beer, Wine, and Liquor Stores",1
Other Motor Vehicle Dealers,1
Automotive Repair and Maintenance,1
Other Schools and Instruction,1
"Jewelry, Luggage, and Leather Goods Stores",1
Other Financial Investment Activities,1
Miscellaneous Durable Goods Merchant Wholesalers,1
Technical and Trade Schools,1
Automobile Dealers,1
Individual and Family Services,1
