,safegraph_place_id,longitude,latitude,cbg,visits,hotspot_origin,hotspot_destination,cbg_longitude,cbg_latitude,top_category
0,sg:059ac23abf384f0e8c7941d40156b6a1,-117.254227,32.737624,170438464111,4,False,False,-88.22374090000001,41.789675700000004,Home Furnishings Stores
1,sg:05d176bbf9e94b02bc5ffbcd4ee1c88b,-117.17898999999998,32.834125,60730085076,6,True,False,-117.17719790000001,32.8309387,"Beer, Wine, and Liquor Stores"
2,sg:a59dd433887a43eda507a81e5185ca79,-117.17827700000001,32.833995,60730085076,4,True,False,-117.17719790000001,32.8309387,Nursing Care Facilities (Skilled Nursing Facilities)
3,sg:05b1abd54e8740dcb0135966672a9fd6,-117.155852,32.836538,60730085076,4,True,False,-117.17719790000001,32.8309387,"Sporting Goods, Hobby, and Musical Instrument Stores"
4,sg:ecc7f66cd9cd4445a1a8b887e6a841ff,-117.179883,32.829075,60730085076,4,True,False,-117.17719790000001,32.8309387,Child Day Care Services
5,sg:a5d9f06a34664b0d8f126892090a6615,-117.175234,32.834084999999995,60730085076,7,True,False,-117.17719790000001,32.8309387,Grocery Stores
6,sg:8a4683853d3844b7b7553b28da1c70e1,-117.20961299999999,32.851749,60730085076,10,True,False,-117.17719790000001,32.8309387,"Museums, Historical Sites, and Similar Institutions"
7,sg:44abe1abfbe2448198113b9600e0f7fe,-117.25278200000001,32.799601,60730085076,4,True,False,-117.17719790000001,32.8309387,Clothing Stores
8,sg:0c9c8ffac49e4beca38b4c320971fdb6,-117.09274599999999,32.757668,60730023012,4,True,False,-117.0938846,32.7572512,Offices of Physicians
9,sg:3dcc641c7fc34337bff2a3e965dd7e5b,-117.077554,33.015024,60730023012,5,True,False,-117.0938846,32.7572512,Restaurants and Other Eating Places
10,sg:4dbdb74dc8a94bf78a1f45f584a85c1e,-117.092676,32.756818,60730023012,6,True,False,-117.0938846,32.7572512,Restaurants and Other Eating Places
11,sg:cbda48be8e70407fb36095cb6909f10e,-117.13711,32.8954,60730023012,5,True,False,-117.0938846,32.7572512,Restaurants and Other Eating Places
12,sg:ea53e85dca964bb9bb2d5aba356a5b4c,-117.058485,32.754956,60730023012,5,True,False,-117.0938846,32.7572512,Restaurants and Other Eating Places
13,sg:d400e73c2ba34b6b8f1fcccf9b25f275,-117.15904099999999,32.714376,60730023012,4,True,False,-117.0938846,32.7572512,Restaurants and Other Eating Places
14,sg:18d889af2ab442228a4d66a07d4042ee,-117.041647,32.543644,60730100051,4,True,False,-117.0457243,32.5651231,Shoe Stores
15,sg:d0c970e651a449ceaf1425841b1fb085,-117.034277,32.548812,60730100051,6,True,False,-117.0457243,32.5651231,Restaurants and Other Eating Places
16,sg:4dc3c7dc61b74ea5ba3ff6151ab7defb,-117.09933500000001,32.576108000000005,60730100051,4,True,False,-117.0457243,32.5651231,Specialty Food Stores
17,sg:fde3738a84094e60982e1425f9e7832c,-117.074226,32.569541,60730100051,5,True,False,-117.0457243,32.5651231,Elementary and Secondary Schools
18,sg:8115ed9d9e6d402c910fb73503b86f14,-117.146693,32.748201,60730100051,4,True,False,-117.0457243,32.5651231,Other Amusement and Recreation Industries
19,sg:6e277754b69c4dcdb80d71678c72ff2e,-117.143681,32.705886,60730100051,4,True,False,-117.0457243,32.5651231,"Automotive Parts, Accessories, and Tire Stores"
20,sg:5b35894ffe4444098480cc3735e94b4f,-117.15988600000001,32.716297999999995,60730100051,4,True,False,-117.0457243,32.5651231,Traveler Accommodation
21,sg:a3762fe0b2ef4fee8fcf580ab4bd02f0,-117.08003899999999,32.576785,60730100051,4,True,False,-117.0457243,32.5651231,Gasoline Stations
22,sg:501e40661ad84d1f9293a9d2a97bee7e,-117.044807,32.559002,60730100051,5,True,False,-117.0457243,32.5651231,Other Amusement and Recreation Industries
23,sg:fb0884ec79ea432db24823c3407a9ec5,-117.143948,32.700247999999995,60730100051,4,True,False,-117.0457243,32.5651231,"Colleges, Universities, and Professional Schools"
24,sg:6924c08e96f74cdcbbc3f0648e51ed10,-117.172293,32.907043,60730100051,4,True,False,-117.0457243,32.5651231,Other Amusement and Recreation Industries
25,sg:96e1eca597424b819608e2eed216f241,-117.131707,32.754875,60730100051,4,True,False,-117.0457243,32.5651231,Restaurants and Other Eating Places
26,sg:25a2fc6668014147a84bf928f61586f5,-117.03680200000001,32.578971,60730100142,20,True,True,-117.0187686,32.5787826,Motion Picture and Video Industries
27,sg:2ac2ee7b99a0445d8b50497a3c91e35a,-117.066577,32.759586,60730100142,4,True,False,-117.0187686,32.5787826,Offices of Dentists
28,sg:088da1310fa64dedbb9421bc3abb4e9c,-117.085955,32.584224,60730100142,5,True,False,-117.0187686,32.5787826,"Automotive Parts, Accessories, and Tire Stores"
29,sg:d62fbfdc06204c98ba4b5e8e4ef09890,-117.199774,32.745437,60730100142,4,True,False,-117.0187686,32.5787826,Restaurants and Other Eating Places
30,sg:39d0c4d6c71845b596646b741d703c88,-117.048395,32.584838,60730100142,4,True,False,-117.0187686,32.5787826,Child Day Care Services
31,sg:133172dfc27c4457b489e69fb5333e81,-117.035826,32.577214,60730100142,10,True,False,-117.0187686,32.5787826,Restaurants and Other Eating Places
32,sg:87340cea281a4e84a960a229b4c187fb,-117.03631399999999,32.543239,60730100142,4,True,False,-117.0187686,32.5787826,"Executive, Legislative, and Other General Government Support"
33,sg:3e07b2d08ea94ebea1224af609593af5,-117.033073,32.582694000000004,60730100142,16,True,True,-117.0187686,32.5787826,Restaurants and Other Eating Places
34,sg:2d5bcf65f43f46fbbec24e202165aa36,-117.06166999999999,32.583222,60730100142,5,True,False,-117.0187686,32.5787826,Restaurants and Other Eating Places
35,sg:eaa0df9b2d2b4bbc80f865b7eadb2933,-117.03970100000001,32.584142,60730100142,49,True,True,-117.0187686,32.5787826,Restaurants and Other Eating Places
36,sg:5f4f018734b94bbba6c893e9208b5e91,-117.039727,32.584676,60730100142,14,True,True,-117.0187686,32.5787826,Health and Personal Care Stores
37,sg:7e76ac83672242b6a0402e7abede75ef,-117.029131,32.585581,60730100142,5,True,False,-117.0187686,32.5787826,Child Day Care Services
38,sg:365cbb8ab7314a34b9481f3a9c392803,-117.03813500000001,32.584887,60730100142,9,True,False,-117.0187686,32.5787826,Other Amusement and Recreation Industries
39,sg:9c6663db65ea475f9efbe31d75c304d4,-117.02778899999998,32.570718,60730100142,18,True,True,-117.0187686,32.5787826,Religious Organizations
40,sg:133dcfe9e5564129bd3b7cc75bc9a0b5,-117.037054,32.628890000000006,60730100142,10,True,False,-117.0187686,32.5787826,Electronics and Appliance Stores
41,sg:b9581a0e36154ca1a1c8c76eca1ab7a3,-117.03729399999999,32.576282,60730100142,41,True,True,-117.0187686,32.5787826,Specialty Food Stores
42,sg:633c47d1f257459c989eec970be0524f,-117.06801899999999,32.576716999999995,60730100142,5,True,False,-117.0187686,32.5787826,Other Information Services
43,sg:e725fc72075d4fc39f339cc10ea1568a,-117.083573,32.579758,60730100142,4,True,False,-117.0187686,32.5787826,Support Activities for Road Transportation
44,sg:0e7c9deccc7a47919d637b75eaf2e137,-117.02501799999999,32.571657,60730100142,48,True,True,-117.0187686,32.5787826,Child Day Care Services
45,sg:524746c4fc2f49ec9a0c4182fb9ff5c1,-117.14678400000001,32.748697,60730100142,4,True,False,-117.0187686,32.5787826,Health and Personal Care Stores
