Restaurants and Other Eating Places,720
"Museums, Historical Sites, and Similar Institutions",268
Other Amusement and Recreation Industries,191
Grocery Stores,152
Lessors of Real Estate,110
Gasoline Stations,105
"Sporting Goods, Hobby, and Musical Instrument Stores",88
Health and Personal Care Stores,75
Traveler Accommodation,72
Elementary and Secondary Schools,58
Other Miscellaneous Store Retailers,53
Building Material and Supplies Dealers,52
"General Merchandise Stores, including Warehouse Clubs and Supercenters",49
Child Day Care Services,49
Automobile Dealers,41
Religious Organizations,38
"Office Supplies, Stationery, and Gift Stores",37
Electronics and Appliance Stores,35
Offices of Physicians,33
Offices of Other Health Practitioners,29
"Beer, Wine, and Liquor Stores",25
"Automotive Parts, Accessories, and Tire Stores",25
Automotive Repair and Maintenance,22
Clothing Stores,21
"Justice, Public Order, and Safety Activities",21
Florists,20
Personal Care Services,19
Used Merchandise Stores,18
"Colleges, Universities, and Professional Schools",18
Depository Credit Intermediation,17
Specialty Food Stores,17
Book Stores and News Dealers,15
Home Health Care Services,15
Department Stores,14
Other Personal Services,14
Offices of Dentists,12
General Medical and Surgical Hospitals,11
Furniture Stores,11
Home Furnishings Stores,11
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,11
Services to Buildings and Dwellings,10
Other Motor Vehicle Dealers,9
Postal Service,9
"Agencies, Brokerages, and Other Insurance Related Activities",9
Amusement Parks and Arcades,8
Other Schools and Instruction,8
"Executive, Legislative, and Other General Government Support",8
Drinking Places (Alcoholic Beverages),7
Shoe Stores,7
"Other Professional, Scientific, and Technical Services",7
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",7
Motion Picture and Video Industries,6
Lumber and Other Construction Materials Merchant Wholesalers,6
"Jewelry, Luggage, and Leather Goods Stores",6
Beverage Manufacturing,5
Outpatient Care Centers,5
Building Equipment Contractors,5
Spectator Sports,5
Offices of Real Estate Agents and Brokers,5
Waste Treatment and Disposal,5
Printing and Related Support Activities,4
Wired and Wireless Telecommunications Carriers,4
Other Financial Investment Activities,4
Personal and Household Goods Repair and Maintenance,4
Couriers and Express Delivery Services,4
Support Activities for Air Transportation,4
Junior Colleges,4
Drugs and Druggists' Sundries Merchant Wholesalers,4
Drycleaning and Laundry Services,3
Consumer Goods Rental,3
Miscellaneous Durable Goods Merchant Wholesalers,3
Other Information Services,3
Individual and Family Services,3
Medical and Diagnostic Laboratories,3
Support Activities for Road Transportation,3
Other Miscellaneous Manufacturing,2
Bakeries and Tortilla Manufacturing,2
Travel Arrangement and Reservation Services,2
"Electric Power Generation, Transmission and Distribution",2
Automotive Equipment Rental and Leasing,2
"Machinery, Equipment, and Supplies Merchant Wholesalers",2
Grocery and Related Product Merchant Wholesalers,2
Gambling Industries,2
RV (Recreational Vehicle) Parks and Recreational Camps,2
Psychiatric and Substance Abuse Hospitals,1
Administration of Economic Programs,1
Nondepository Credit Intermediation,1
Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,1
Warehousing and Storage,1
nan,1
Specialized Freight Trucking,1
Technical and Trade Schools,1
"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",1
