Restaurants and Other Eating Places,499
"Museums, Historical Sites, and Similar Institutions",290
Other Amusement and Recreation Industries,129
Grocery Stores,76
"Sporting Goods, Hobby, and Musical Instrument Stores",54
Child Day Care Services,44
Traveler Accommodation,43
Health and Personal Care Stores,38
Other Miscellaneous Store Retailers,36
Gasoline Stations,31
Elementary and Secondary Schools,28
Offices of Physicians,24
Used Merchandise Stores,21
Building Material and Supplies Dealers,21
"Beer, Wine, and Liquor Stores",18
Religious Organizations,17
"General Merchandise Stores, including Warehouse Clubs and Supercenters",13
Offices of Other Health Practitioners,13
"Office Supplies, Stationery, and Gift Stores",13
Lessors of Real Estate,11
General Medical and Surgical Hospitals,11
Home Furnishings Stores,11
Amusement Parks and Arcades,11
Electronics and Appliance Stores,10
Specialty Food Stores,10
Clothing Stores,10
Florists,9
Drinking Places (Alcoholic Beverages),9
Book Stores and News Dealers,9
Furniture Stores,7
Services to Buildings and Dwellings,6
"Automotive Parts, Accessories, and Tire Stores",6
Offices of Dentists,5
Department Stores,5
Other Personal Services,5
Support Activities for Air Transportation,5
Depository Credit Intermediation,4
"Colleges, Universities, and Professional Schools",4
Support Activities for Road Transportation,4
Automotive Repair and Maintenance,4
"Justice, Public Order, and Safety Activities",4
Automobile Dealers,4
Couriers and Express Delivery Services,4
Medical and Diagnostic Laboratories,4
"Executive, Legislative, and Other General Government Support",4
Personal Care Services,3
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",3
"Jewelry, Luggage, and Leather Goods Stores",3
Other Motor Vehicle Dealers,3
Motion Picture and Video Industries,3
Drycleaning and Laundry Services,3
Grocery and Related Product Merchant Wholesalers,2
Bakeries and Tortilla Manufacturing,2
Building Equipment Contractors,2
Personal and Household Goods Repair and Maintenance,2
Wired and Wireless Telecommunications Carriers,2
Junior Colleges,2
Printing and Related Support Activities,2
Outpatient Care Centers,2
Lumber and Other Construction Materials Merchant Wholesalers,2
Gambling Industries,2
National Security and International Affairs,2
Offices of Real Estate Agents and Brokers,1
Shoe Stores,1
Travel Arrangement and Reservation Services,1
"Agencies, Brokerages, and Other Insurance Related Activities",1
Rail Transportation,1
Home Health Care Services,1
Individual and Family Services,1
Postal Service,1
Beverage Manufacturing,1
Waste Treatment and Disposal,1
Psychiatric and Substance Abuse Hospitals,1
nan,1
Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,1
Administration of Economic Programs,1
"Other Professional, Scientific, and Technical Services",1
Other Financial Investment Activities,1
Other Information Services,1
Automotive Equipment Rental and Leasing,1
Other Schools and Instruction,1
Consumer Goods Rental,1
Death Care Services,1
