Restaurants and Other Eating Places,989
"Museums, Historical Sites, and Similar Institutions",285
Other Amusement and Recreation Industries,260
Elementary and Secondary Schools,189
Grocery Stores,143
Gasoline Stations,138
Health and Personal Care Stores,107
Child Day Care Services,105
"Sporting Goods, Hobby, and Musical Instrument Stores",91
Lessors of Real Estate,84
Religious Organizations,79
Other Miscellaneous Store Retailers,61
Building Material and Supplies Dealers,61
Traveler Accommodation,54
Offices of Physicians,52
Electronics and Appliance Stores,37
Clothing Stores,33
"General Merchandise Stores, including Warehouse Clubs and Supercenters",33
"Automotive Parts, Accessories, and Tire Stores",33
Automobile Dealers,32
Used Merchandise Stores,30
"Office Supplies, Stationery, and Gift Stores",28
Automotive Repair and Maintenance,27
Offices of Dentists,26
Offices of Other Health Practitioners,23
Florists,22
Services to Buildings and Dwellings,22
Home Health Care Services,22
"Colleges, Universities, and Professional Schools",21
Depository Credit Intermediation,20
"Beer, Wine, and Liquor Stores",20
Home Furnishings Stores,20
Department Stores,19
Furniture Stores,17
Other Information Services,15
Book Stores and News Dealers,14
Other Schools and Instruction,13
Specialty Food Stores,13
"Other Professional, Scientific, and Technical Services",13
Personal Care Services,12
Medical and Diagnostic Laboratories,10
Wired and Wireless Telecommunications Carriers,10
"Jewelry, Luggage, and Leather Goods Stores",9
Other Personal Services,9
Building Equipment Contractors,8
Outpatient Care Centers,7
Printing and Related Support Activities,7
Bakeries and Tortilla Manufacturing,7
"Justice, Public Order, and Safety Activities",7
"Agencies, Brokerages, and Other Insurance Related Activities",6
Support Activities for Road Transportation,6
Spectator Sports,6
"Electric Power Generation, Transmission and Distribution",6
Other Motor Vehicle Dealers,6
Amusement Parks and Arcades,6
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,6
Waste Treatment and Disposal,6
Motion Picture and Video Industries,5
Gambling Industries,5
Beverage Manufacturing,5
"Executive, Legislative, and Other General Government Support",4
General Medical and Surgical Hospitals,4
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",4
Individual and Family Services,4
Drycleaning and Laundry Services,4
Shoe Stores,4
Other Miscellaneous Manufacturing,4
Couriers and Express Delivery Services,4
Junior Colleges,3
Automotive Equipment Rental and Leasing,3
Miscellaneous Durable Goods Merchant Wholesalers,3
Administration of Economic Programs,3
Specialized Freight Trucking,3
Drinking Places (Alcoholic Beverages),3
Other Ambulatory Health Care Services,2
Personal and Household Goods Repair and Maintenance,2
Other Financial Investment Activities,2
"Greenhouse, Nursery, and Floriculture Production",2
"Machinery, Equipment, and Supplies Merchant Wholesalers",2
Drugs and Druggists' Sundries Merchant Wholesalers,2
Postal Service,2
Lumber and Other Construction Materials Merchant Wholesalers,2
Death Care Services,1
Taxi and Limousine Service,1
nan,1
Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,1
nan,1
Commercial and Industrial Machinery and Equipment Rental and Leasing,1
Travel Arrangement and Reservation Services,1
Technical and Trade Schools,1
Social Advocacy Organizations,1
nan,1
Employment Services,1
nan,1
RV (Recreational Vehicle) Parks and Recreational Camps,1
Grocery and Related Product Merchant Wholesalers,1
Investigation and Security Services,1
Consumer Goods Rental,1
Other Leather and Allied Product Manufacturing,1
Support Activities for Air Transportation,1
"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",1
Offices of Real Estate Agents and Brokers,1
