Restaurants and Other Eating Places,447
"Museums, Historical Sites, and Similar Institutions",346
Other Amusement and Recreation Industries,119
Grocery Stores,74
Health and Personal Care Stores,48
Gasoline Stations,47
"Sporting Goods, Hobby, and Musical Instrument Stores",37
Offices of Physicians,29
Building Material and Supplies Dealers,27
Elementary and Secondary Schools,26
Lessors of Real Estate,25
Child Day Care Services,25
Other Miscellaneous Store Retailers,24
Traveler Accommodation,19
"Office Supplies, Stationery, and Gift Stores",17
Used Merchandise Stores,15
Clothing Stores,15
General Medical and Surgical Hospitals,14
Offices of Other Health Practitioners,13
Personal Care Services,12
Specialty Food Stores,12
Religious Organizations,12
Other Motor Vehicle Dealers,12
Book Stores and News Dealers,10
Florists,10
Home Furnishings Stores,10
Offices of Dentists,9
Automobile Dealers,9
Automotive Repair and Maintenance,8
"Justice, Public Order, and Safety Activities",8
Depository Credit Intermediation,7
"Colleges, Universities, and Professional Schools",7
"General Merchandise Stores, including Warehouse Clubs and Supercenters",7
"Automotive Parts, Accessories, and Tire Stores",6
"Jewelry, Luggage, and Leather Goods Stores",6
Amusement Parks and Arcades,6
Electronics and Appliance Stores,6
Drinking Places (Alcoholic Beverages),5
Building Equipment Contractors,5
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,5
Home Health Care Services,5
Other Personal Services,4
Department Stores,4
Furniture Stores,4
Other Information Services,4
"Executive, Legislative, and Other General Government Support",3
Medical and Diagnostic Laboratories,3
Services to Buildings and Dwellings,3
Beverage Manufacturing,3
Spectator Sports,3
"Agencies, Brokerages, and Other Insurance Related Activities",3
Waste Treatment and Disposal,3
Automotive Equipment Rental and Leasing,3
Rail Transportation,3
Outpatient Care Centers,2
Junior Colleges,2
"Beer, Wine, and Liquor Stores",2
Other Schools and Instruction,2
Wired and Wireless Telecommunications Carriers,2
Bakeries and Tortilla Manufacturing,2
Personal and Household Goods Repair and Maintenance,2
Printing and Related Support Activities,2
Drugs and Druggists' Sundries Merchant Wholesalers,2
Support Activities for Road Transportation,2
Postal Service,2
"Community Food and Housing, and Emergency and Other Relief Services",1
Individual and Family Services,1
Commercial and Industrial Machinery and Equipment Rental and Leasing,1
Motion Picture and Video Industries,1
Other Transit and Ground Passenger Transportation,1
RV (Recreational Vehicle) Parks and Recreational Camps,1
Shoe Stores,1
"Data Processing, Hosting, and Related Services",1
Drycleaning and Laundry Services,1
Employment Services,1
Death Care Services,1
Support Activities for Air Transportation,1
Building Finishing Contractors,1
Lumber and Other Construction Materials Merchant Wholesalers,1
Gambling Industries,1
