Restaurants and Other Eating Places,7671
Lessors of Real Estate,4415
"Museums, Historical Sites, and Similar Institutions",2734
Elementary and Secondary Schools,2052
Other Amusement and Recreation Industries,2010
Grocery Stores,1980
Gasoline Stations,1457
Health and Personal Care Stores,753
"General Merchandise Stores, including Warehouse Clubs and Supercenters",676
Religious Organizations,622
"Sporting Goods, Hobby, and Musical Instrument Stores",553
"Colleges, Universities, and Professional Schools",508
Other Miscellaneous Store Retailers,467
Child Day Care Services,463
Other Information Services,439
"Beer, Wine, and Liquor Stores",376
Department Stores,371
Depository Credit Intermediation,352
Traveler Accommodation,352
Building Material and Supplies Dealers,347
Electronics and Appliance Stores,315
Automotive Repair and Maintenance,143
"Automotive Parts, Accessories, and Tire Stores",124
Furniture Stores,119
"Office Supplies, Stationery, and Gift Stores",117
Spectator Sports,110
Clothing Stores,109
Postal Service,101
Support Activities for Air Transportation,88
Services to Buildings and Dwellings,85
Consumer Goods Rental,82
Motion Picture and Video Industries,80
Home Health Care Services,71
Used Merchandise Stores,65
General Medical and Surgical Hospitals,59
"Jewelry, Luggage, and Leather Goods Stores",58
Drinking Places (Alcoholic Beverages),57
Offices of Dentists,53
Couriers and Express Delivery Services,52
Offices of Other Health Practitioners,51
Other Personal Services,44
Employment Services,43
Personal Care Services,42
"Agencies, Brokerages, and Other Insurance Related Activities",39
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,37
Specialty Food Stores,21
"Other Professional, Scientific, and Technical Services",15
Offices of Physicians,15
Automotive Equipment Rental and Leasing,15
Other Motor Vehicle Dealers,14
Bakeries and Tortilla Manufacturing,14
Automobile Dealers,14
Florists,14
Technical and Trade Schools,14
Home Furnishings Stores,13
Junior Colleges,13
Amusement Parks and Arcades,13
Drycleaning and Laundry Services,13
Waste Treatment and Disposal,13
