Restaurants and Other Eating Places,2643
"Museums, Historical Sites, and Similar Institutions",1937
Other Amusement and Recreation Industries,667
Grocery Stores,402
"Sporting Goods, Hobby, and Musical Instrument Stores",367
Traveler Accommodation,239
Child Day Care Services,234
Other Miscellaneous Store Retailers,198
Gasoline Stations,191
Health and Personal Care Stores,187
Elementary and Secondary Schools,174
Religious Organizations,126
Building Material and Supplies Dealers,122
Lessors of Real Estate,120
Offices of Physicians,111
General Medical and Surgical Hospitals,100
Clothing Stores,94
"Beer, Wine, and Liquor Stores",80
Amusement Parks and Arcades,80
Used Merchandise Stores,77
Support Activities for Air Transportation,74
Offices of Other Health Practitioners,67
Book Stores and News Dealers,63
"Justice, Public Order, and Safety Activities",60
Florists,60
"Office Supplies, Stationery, and Gift Stores",60
"General Merchandise Stores, including Warehouse Clubs and Supercenters",58
Drinking Places (Alcoholic Beverages),57
Home Furnishings Stores,55
Specialty Food Stores,46
Department Stores,41
Automobile Dealers,41
Offices of Dentists,38
Other Motor Vehicle Dealers,30
Waste Treatment and Disposal,30
Furniture Stores,27
Electronics and Appliance Stores,26
Drycleaning and Laundry Services,25
Other Personal Services,25
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,24
Personal Care Services,23
Depository Credit Intermediation,22
Personal and Household Goods Repair and Maintenance,19
Bakeries and Tortilla Manufacturing,18
"Jewelry, Luggage, and Leather Goods Stores",18
Other Information Services,17
Building Equipment Contractors,16
Services to Buildings and Dwellings,16
Couriers and Express Delivery Services,15
Beverage Manufacturing,14
Motion Picture and Video Industries,14
Home Health Care Services,14
Consumer Goods Rental,13
Grocery and Related Product Merchant Wholesalers,13
Automotive Repair and Maintenance,13
Other Miscellaneous Manufacturing,12
"Other Professional, Scientific, and Technical Services",12
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",12
"Agencies, Brokerages, and Other Insurance Related Activities",11
Offices of Real Estate Agents and Brokers,9
Psychiatric and Substance Abuse Hospitals,8
Lumber and Other Construction Materials Merchant Wholesalers,8
Automotive Equipment Rental and Leasing,7
Technical and Trade Schools,7
Postal Service,6
Travel Arrangement and Reservation Services,6
"Executive, Legislative, and Other General Government Support",6
Outpatient Care Centers,5
"Automotive Parts, Accessories, and Tire Stores",5
"Colleges, Universities, and Professional Schools",5
Gambling Industries,5
Spectator Sports,5
Individual and Family Services,5
Specialized Freight Trucking,5
Miscellaneous Durable Goods Merchant Wholesalers,5
Other Ambulatory Health Care Services,5
Other Financial Investment Activities,5
Rail Transportation,5
RV (Recreational Vehicle) Parks and Recreational Camps,5
Other Schools and Instruction,5
Printing and Related Support Activities,5
Wired and Wireless Telecommunications Carriers,5
