Restaurants and Other Eating Places,15955
"Museums, Historical Sites, and Similar Institutions",9978
Lessors of Real Estate,3091
Gasoline Stations,3067
Other Amusement and Recreation Industries,2854
Elementary and Secondary Schools,2631
Grocery Stores,2351
"General Merchandise Stores, including Warehouse Clubs and Supercenters",1612
Traveler Accommodation,1529
Religious Organizations,1354
Health and Personal Care Stores,1201
"Sporting Goods, Hobby, and Musical Instrument Stores",1079
Offices of Physicians,946
Child Day Care Services,892
Depository Credit Intermediation,878
Clothing Stores,845
"Colleges, Universities, and Professional Schools",806
Support Activities for Air Transportation,743
Other Miscellaneous Store Retailers,723
"Automotive Parts, Accessories, and Tire Stores",719
Automobile Dealers,671
Building Material and Supplies Dealers,622
Personal Care Services,533
Electronics and Appliance Stores,522
Automotive Repair and Maintenance,485
Offices of Dentists,483
"Office Supplies, Stationery, and Gift Stores",466
Used Merchandise Stores,408
Offices of Other Health Practitioners,392
Home Health Care Services,364
Florists,327
Specialty Food Stores,318
Other Information Services,317
General Medical and Surgical Hospitals,297
"Jewelry, Luggage, and Leather Goods Stores",287
Department Stores,275
"Beer, Wine, and Liquor Stores",245
Furniture Stores,243
Book Stores and News Dealers,226
"Agencies, Brokerages, and Other Insurance Related Activities",222
Services to Buildings and Dwellings,209
Outpatient Care Centers,202
Other Financial Investment Activities,187
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,176
Drinking Places (Alcoholic Beverages),176
Home Furnishings Stores,163
Wired and Wireless Telecommunications Carriers,154
"Justice, Public Order, and Safety Activities",151
Other Personal Services,148
Automotive Equipment Rental and Leasing,148
Individual and Family Services,137
Bakeries and Tortilla Manufacturing,129
Other Schools and Instruction,127
Medical and Diagnostic Laboratories,124
Couriers and Express Delivery Services,121
"Other Professional, Scientific, and Technical Services",118
Motion Picture and Video Industries,114
Spectator Sports,109
Shoe Stores,90
Junior Colleges,79
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",72
Gambling Industries,72
"Executive, Legislative, and Other General Government Support",71
Postal Service,69
Beverage Manufacturing,63
Waste Treatment and Disposal,56
Amusement Parks and Arcades,54
Other Miscellaneous Manufacturing,51
Other Motor Vehicle Dealers,49
Offices of Real Estate Agents and Brokers,47
Lumber and Other Construction Materials Merchant Wholesalers,43
Support Activities for Road Transportation,41
Printing and Related Support Activities,41
Drycleaning and Laundry Services,40
Nondepository Credit Intermediation,35
Death Care Services,34
Miscellaneous Durable Goods Merchant Wholesalers,31
Technical and Trade Schools,28
Personal and Household Goods Repair and Maintenance,23
Consumer Goods Rental,20
Other Transit and Ground Passenger Transportation,18
Performing Arts Companies,17
Building Equipment Contractors,16
Rail Transportation,16
Other Ambulatory Health Care Services,15
National Security and International Affairs,15
Taxi and Limousine Service,15
Warehousing and Storage,11
Commercial and Industrial Machinery and Equipment Rental and Leasing,11
"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",10
Administration of Economic Programs,8
Educational Support Services,8
General Rental Centers,8
Freight Transportation Arrangement,8
Miscellaneous Nondurable Goods Merchant Wholesalers,7
Psychiatric and Substance Abuse Hospitals,6
Travel Arrangement and Reservation Services,6
Architectural and Structural Metals Manufacturing,6
Motor Vehicle Manufacturing,5
Grantmaking and Giving Services,5
Specialized Freight Trucking,5
Activities Related to Credit Intermediation,5
Nursing Care Facilities (Skilled Nursing Facilities),5
Other Food Manufacturing,5
Grocery and Related Product Merchant Wholesalers,5
"Data Processing, Hosting, and Related Services",5
