Restaurants and Other Eating Places,4855
Lessors of Real Estate,2765
Elementary and Secondary Schools,2408
Gasoline Stations,1432
"General Merchandise Stores, including Warehouse Clubs and Supercenters",1372
Grocery Stores,1116
Other Amusement and Recreation Industries,861
Child Day Care Services,528
Health and Personal Care Stores,399
Religious Organizations,362
"Sporting Goods, Hobby, and Musical Instrument Stores",350
Depository Credit Intermediation,281
"Colleges, Universities, and Professional Schools",267
Traveler Accommodation,241
Building Material and Supplies Dealers,193
Department Stores,191
Other Miscellaneous Store Retailers,150
"Museums, Historical Sites, and Similar Institutions",141
"Promoters of Performing Arts, Sports, and Similar Events",113
General Medical and Surgical Hospitals,110
Clothing Stores,105
Automotive Repair and Maintenance,84
Offices of Physicians,84
"Office Supplies, Stationery, and Gift Stores",80
Electronics and Appliance Stores,72
Services to Buildings and Dwellings,70
Personal Care Services,60
Used Merchandise Stores,57
"Automotive Parts, Accessories, and Tire Stores",52
"Beer, Wine, and Liquor Stores",48
Individual and Family Services,47
Offices of Dentists,47
Junior Colleges,46
"Agencies, Brokerages, and Other Insurance Related Activities",46
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,43
Florists,38
Drinking Places (Alcoholic Beverages),37
Motion Picture and Video Industries,37
Spectator Sports,36
Couriers and Express Delivery Services,34
Automobile Dealers,31
"Jewelry, Luggage, and Leather Goods Stores",31
Performing Arts Companies,30
Postal Service,22
RV (Recreational Vehicle) Parks and Recreational Camps,20
Other Information Services,18
Gambling Industries,18
Other Schools and Instruction,17
Nondepository Credit Intermediation,17
"Executive, Legislative, and Other General Government Support",15
Book Stores and News Dealers,15
Technical and Trade Schools,15
"Other Professional, Scientific, and Technical Services",13
Support Activities for Air Transportation,13
Home Furnishings Stores,12
Other Leather and Allied Product Manufacturing,12
Shoe Stores,11
Other Personal Services,10
