Restaurants and Other Eating Places,18709
Gasoline Stations,8039
Lessors of Real Estate,6684
Grocery Stores,5217
"Museums, Historical Sites, and Similar Institutions",3752
"General Merchandise Stores, including Warehouse Clubs and Supercenters",3358
Health and Personal Care Stores,2590
Other Amusement and Recreation Industries,2248
Building Material and Supplies Dealers,1959
"Sporting Goods, Hobby, and Musical Instrument Stores",1684
Elementary and Secondary Schools,1517
"Automotive Parts, Accessories, and Tire Stores",1454
Traveler Accommodation,1437
Automobile Dealers,1250
Electronics and Appliance Stores,1227
Depository Credit Intermediation,1182
Other Miscellaneous Store Retailers,1174
Automotive Repair and Maintenance,1148
Offices of Physicians,1133
Religious Organizations,974
Child Day Care Services,919
Personal Care Services,756
Specialty Food Stores,677
"Office Supplies, Stationery, and Gift Stores",647
Clothing Stores,626
Furniture Stores,598
Department Stores,576
Used Merchandise Stores,571
Services to Buildings and Dwellings,507
"Beer, Wine, and Liquor Stores",384
Florists,382
Home Health Care Services,372
Offices of Dentists,366
Wired and Wireless Telecommunications Carriers,334
Offices of Other Health Practitioners,334
Home Furnishings Stores,333
"Agencies, Brokerages, and Other Insurance Related Activities",299
"Jewelry, Luggage, and Leather Goods Stores",287
"Colleges, Universities, and Professional Schools",276
Book Stores and News Dealers,209
Support Activities for Road Transportation,201
General Medical and Surgical Hospitals,186
Bakeries and Tortilla Manufacturing,180
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",178
Shoe Stores,165
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,155
Couriers and Express Delivery Services,152
Support Activities for Air Transportation,151
Automotive Equipment Rental and Leasing,137
Other Personal Services,133
"Other Professional, Scientific, and Technical Services",132
Drycleaning and Laundry Services,130
Medical and Diagnostic Laboratories,129
"Justice, Public Order, and Safety Activities",121
Spectator Sports,112
Other Motor Vehicle Dealers,111
Drinking Places (Alcoholic Beverages),111
Personal and Household Goods Repair and Maintenance,107
Waste Treatment and Disposal,105
Outpatient Care Centers,103
Other Financial Investment Activities,99
Motion Picture and Video Industries,94
Building Equipment Contractors,93
Postal Service,87
Printing and Related Support Activities,81
Other Schools and Instruction,78
Other Miscellaneous Manufacturing,76
Junior Colleges,76
Lumber and Other Construction Materials Merchant Wholesalers,61
"Machinery, Equipment, and Supplies Merchant Wholesalers",60
Offices of Real Estate Agents and Brokers,60
Amusement Parks and Arcades,54
"Executive, Legislative, and Other General Government Support",53
Gambling Industries,51
Consumer Goods Rental,44
Nondepository Credit Intermediation,42
Miscellaneous Durable Goods Merchant Wholesalers,41
Individual and Family Services,40
Commercial and Industrial Machinery and Equipment Rental and Leasing,36
"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",30
Technical and Trade Schools,27
Other Transit and Ground Passenger Transportation,26
Death Care Services,26
Beverage Manufacturing,26
Other Information Services,23
Chemical and Allied Products Merchant Wholesalers,18
Psychiatric and Substance Abuse Hospitals,18
Educational Support Services,18
Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,18
Travel Arrangement and Reservation Services,17
Administration of Economic Programs,15
Nursing Care Facilities (Skilled Nursing Facilities),14
Warehousing and Storage,13
Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,12
Insurance Carriers,12
Social Advocacy Organizations,11
Employment Services,10
Rail Transportation,10
Other Leather and Allied Product Manufacturing,10
"Foundation, Structure, and Building Exterior Contractors",10
Cable and Other Subscription Programming,9
Specialty (except Psychiatric and Substance Abuse) Hospitals,9
Activities Related to Credit Intermediation,8
Clay Product and Refractory Manufacturing,8
Grantmaking and Giving Services,7
Residential Building Construction,6
Metal and Mineral (except Petroleum) Merchant Wholesalers,6
Architectural and Structural Metals Manufacturing,6
Grocery and Related Product Merchant Wholesalers,6
Specialized Freight Trucking,5
"Electric Power Generation, Transmission and Distribution",5
Other Textile Product Mills,5
"Coating, Engraving, Heat Treating, and Allied Activities",5
Other Food Manufacturing,5
"Community Food and Housing, and Emergency and Other Relief Services",5
