Lessors of Real Estate,7338
Restaurants and Other Eating Places,5751
"General Merchandise Stores, including Warehouse Clubs and Supercenters",2337
Other Amusement and Recreation Industries,2110
Grocery Stores,2002
Gasoline Stations,1880
"Museums, Historical Sites, and Similar Institutions",1328
Health and Personal Care Stores,1068
Elementary and Secondary Schools,836
Department Stores,720
"Sporting Goods, Hobby, and Musical Instrument Stores",629
Other Miscellaneous Store Retailers,426
Building Material and Supplies Dealers,410
"Colleges, Universities, and Professional Schools",372
Religious Organizations,321
Used Merchandise Stores,257
Traveler Accommodation,256
General Medical and Surgical Hospitals,236
Spectator Sports,227
Other Schools and Instruction,195
Automobile Dealers,151
Junior Colleges,144
Depository Credit Intermediation,141
"Automotive Parts, Accessories, and Tire Stores",140
Amusement Parks and Arcades,113
"Office Supplies, Stationery, and Gift Stores",106
Child Day Care Services,102
Support Activities for Air Transportation,94
Drinking Places (Alcoholic Beverages),90
"Justice, Public Order, and Safety Activities",80
Furniture Stores,79
Offices of Physicians,73
Electronics and Appliance Stores,65
Motion Picture and Video Industries,57
Offices of Other Health Practitioners,55
Home Health Care Services,55
Other Personal Services,48
Automotive Repair and Maintenance,48
Personal Care Services,40
Services to Buildings and Dwellings,40
Florists,35
Other Financial Investment Activities,34
Home Furnishings Stores,31
Printing and Related Support Activities,30
Individual and Family Services,29
Other Information Services,28
Management of Companies and Enterprises,25
Shoe Stores,24
Outpatient Care Centers,22
Postal Service,21
Couriers and Express Delivery Services,20
"Other Professional, Scientific, and Technical Services",20
"Executive, Legislative, and Other General Government Support",16
Medical and Diagnostic Laboratories,16
"Agencies, Brokerages, and Other Insurance Related Activities",15
Offices of Dentists,15
Clothing Stores,14
Offices of Real Estate Agents and Brokers,13
Drugs and Druggists' Sundries Merchant Wholesalers,13
Administration of Economic Programs,13
