Lessors of Real Estate,4457
Restaurants and Other Eating Places,2526
"General Merchandise Stores, including Warehouse Clubs and Supercenters",1700
Grocery Stores,1461
Gasoline Stations,1101
Health and Personal Care Stores,729
Other Amusement and Recreation Industries,695
"Museums, Historical Sites, and Similar Institutions",662
Building Material and Supplies Dealers,570
Department Stores,408
"Sporting Goods, Hobby, and Musical Instrument Stores",320
Other Miscellaneous Store Retailers,223
General Medical and Surgical Hospitals,100
"Office Supplies, Stationery, and Gift Stores",96
"Justice, Public Order, and Safety Activities",67
Used Merchandise Stores,67
"Automotive Parts, Accessories, and Tire Stores",60
Services to Buildings and Dwellings,41
Other Information Services,33
Printing and Related Support Activities,27
Automotive Repair and Maintenance,24
Religious Organizations,21
Depository Credit Intermediation,20
Traveler Accommodation,16
"Beer, Wine, and Liquor Stores",16
Child Day Care Services,15
Postal Service,15
Offices of Dentists,15
Drinking Places (Alcoholic Beverages),15
Furniture Stores,15
Other Personal Services,14
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,14
Shoe Stores,14
Specialty Food Stores,14
Junior Colleges,14
