"Museums, Historical Sites, and Similar Institutions",9020
Restaurants and Other Eating Places,8740
Grocery Stores,1846
Other Amusement and Recreation Industries,1816
Gasoline Stations,1131
Elementary and Secondary Schools,1100
"Sporting Goods, Hobby, and Musical Instrument Stores",815
Child Day Care Services,743
Lessors of Real Estate,730
Health and Personal Care Stores,653
Other Miscellaneous Store Retailers,639
Religious Organizations,583
Traveler Accommodation,582
Clothing Stores,535
"Automotive Parts, Accessories, and Tire Stores",495
Offices of Physicians,412
"Office Supplies, Stationery, and Gift Stores",393
Used Merchandise Stores,332
"General Merchandise Stores, including Warehouse Clubs and Supercenters",322
Building Material and Supplies Dealers,318
Specialty Food Stores,274
Offices of Other Health Practitioners,256
Automobile Dealers,255
Electronics and Appliance Stores,253
Automotive Repair and Maintenance,236
Home Health Care Services,236
Florists,231
Personal Care Services,213
"Beer, Wine, and Liquor Stores",205
"Colleges, Universities, and Professional Schools",166
Book Stores and News Dealers,165
General Medical and Surgical Hospitals,157
Depository Credit Intermediation,155
Offices of Dentists,149
Furniture Stores,146
"Jewelry, Luggage, and Leather Goods Stores",140
Other Personal Services,126
Department Stores,125
"Justice, Public Order, and Safety Activities",120
Services to Buildings and Dwellings,111
Medical and Diagnostic Laboratories,102
Bakeries and Tortilla Manufacturing,93
Home Furnishings Stores,88
"Other Professional, Scientific, and Technical Services",83
Other Miscellaneous Manufacturing,76
Other Information Services,72
Wired and Wireless Telecommunications Carriers,71
Drycleaning and Laundry Services,68
Couriers and Express Delivery Services,60
Other Financial Investment Activities,59
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,59
Support Activities for Air Transportation,55
Building Equipment Contractors,54
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",54
Drugs and Druggists' Sundries Merchant Wholesalers,51
Rail Transportation,51
Automotive Equipment Rental and Leasing,48
Other Schools and Instruction,45
"Executive, Legislative, and Other General Government Support",44
Technical and Trade Schools,44
Support Activities for Road Transportation,43
Personal and Household Goods Repair and Maintenance,42
Other Motor Vehicle Dealers,42
Drinking Places (Alcoholic Beverages),37
Waste Treatment and Disposal,36
Shoe Stores,35
Offices of Real Estate Agents and Brokers,34
Printing and Related Support Activities,33
Motion Picture and Video Industries,30
Junior Colleges,30
Outpatient Care Centers,27
Amusement Parks and Arcades,27
"Agencies, Brokerages, and Other Insurance Related Activities",24
Lumber and Other Construction Materials Merchant Wholesalers,23
Travel Arrangement and Reservation Services,22
Postal Service,17
Death Care Services,16
Consumer Goods Rental,15
Spectator Sports,15
Nondepository Credit Intermediation,13
Miscellaneous Durable Goods Merchant Wholesalers,13
"Electric Power Generation, Transmission and Distribution",11
Grocery and Related Product Merchant Wholesalers,10
Specialized Freight Trucking,10
Individual and Family Services,8
Beverage Manufacturing,7
"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",6
National Security and International Affairs,5
Gambling Industries,5
Activities Related to Credit Intermediation,5
Psychiatric and Substance Abuse Hospitals,5
