Restaurants and Other Eating Places,6780
"Museums, Historical Sites, and Similar Institutions",4882
Grocery Stores,2645
Other Amusement and Recreation Industries,1935
Child Day Care Services,1124
Health and Personal Care Stores,1107
Lessors of Real Estate,1065
Elementary and Secondary Schools,1023
Religious Organizations,871
"General Merchandise Stores, including Warehouse Clubs and Supercenters",752
Gasoline Stations,702
Offices of Physicians,549
Personal Care Services,477
Automotive Repair and Maintenance,425
Other Miscellaneous Store Retailers,403
"Sporting Goods, Hobby, and Musical Instrument Stores",384
Building Material and Supplies Dealers,310
General Medical and Surgical Hospitals,310
Traveler Accommodation,306
"Beer, Wine, and Liquor Stores",263
"Automotive Parts, Accessories, and Tire Stores",262
Used Merchandise Stores,260
Automobile Dealers,250
Offices of Dentists,223
Offices of Other Health Practitioners,211
Home Health Care Services,185
Florists,169
Clothing Stores,151
Specialty Food Stores,139
Department Stores,132
Depository Credit Intermediation,130
Junior Colleges,127
Electronics and Appliance Stores,124
"Colleges, Universities, and Professional Schools",118
"Office Supplies, Stationery, and Gift Stores",111
Furniture Stores,99
Book Stores and News Dealers,90
"Justice, Public Order, and Safety Activities",89
Other Information Services,88
Amusement Parks and Arcades,86
"Agencies, Brokerages, and Other Insurance Related Activities",84
Services to Buildings and Dwellings,80
Support Activities for Air Transportation,79
Bakeries and Tortilla Manufacturing,65
Drinking Places (Alcoholic Beverages),61
Support Activities for Road Transportation,61
Outpatient Care Centers,60
Postal Service,55
Medical and Diagnostic Laboratories,52
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,51
Individual and Family Services,51
Other Personal Services,50
Automotive Equipment Rental and Leasing,47
Other Motor Vehicle Dealers,44
Wired and Wireless Telecommunications Carriers,40
"Executive, Legislative, and Other General Government Support",40
General Rental Centers,40
Waste Treatment and Disposal,39
Other Schools and Instruction,38
RV (Recreational Vehicle) Parks and Recreational Camps,36
Lumber and Other Construction Materials Merchant Wholesalers,34
"Other Professional, Scientific, and Technical Services",32
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",31
Shoe Stores,29
Home Furnishings Stores,26
Spectator Sports,26
Psychiatric and Substance Abuse Hospitals,25
Motion Picture and Video Industries,25
"Jewelry, Luggage, and Leather Goods Stores",24
Beverage Manufacturing,23
Building Equipment Contractors,18
Consumer Goods Rental,17
Gambling Industries,17
Specialty (except Psychiatric and Substance Abuse) Hospitals,16
Rail Transportation,12
Activities Related to Credit Intermediation,12
Nondepository Credit Intermediation,11
Drycleaning and Laundry Services,10
Couriers and Express Delivery Services,10
Other Financial Investment Activities,10
Specialized Freight Trucking,7
Grantmaking and Giving Services,7
Travel Arrangement and Reservation Services,7
"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",6
Technical and Trade Schools,6
Other Ambulatory Health Care Services,6
Freight Transportation Arrangement,5
Printing and Related Support Activities,5
Other Transit and Ground Passenger Transportation,5
Commercial and Industrial Machinery and Equipment Rental and Leasing,5
Cable and Other Subscription Programming,5
