Restaurants and Other Eating Places,5878
Lessors of Real Estate,2851
Grocery Stores,2382
"Museums, Historical Sites, and Similar Institutions",2018
Gasoline Stations,1275
"General Merchandise Stores, including Warehouse Clubs and Supercenters",1077
Other Amusement and Recreation Industries,969
Health and Personal Care Stores,957
Building Material and Supplies Dealers,776
Other Miscellaneous Store Retailers,628
Elementary and Secondary Schools,601
"Sporting Goods, Hobby, and Musical Instrument Stores",563
Traveler Accommodation,562
Depository Credit Intermediation,527
"Automotive Parts, Accessories, and Tire Stores",501
Offices of Physicians,479
Automobile Dealers,412
Child Day Care Services,379
Used Merchandise Stores,374
Automotive Repair and Maintenance,364
Religious Organizations,364
Offices of Other Health Practitioners,290
Electronics and Appliance Stores,277
Specialty Food Stores,269
Clothing Stores,262
"Office Supplies, Stationery, and Gift Stores",217
Services to Buildings and Dwellings,198
Personal Care Services,191
Offices of Dentists,185
Department Stores,166
Furniture Stores,162
Home Health Care Services,161
Home Furnishings Stores,151
General Medical and Surgical Hospitals,146
Support Activities for Road Transportation,145
Support Activities for Air Transportation,144
"Beer, Wine, and Liquor Stores",141
Florists,107
"Other Professional, Scientific, and Technical Services",100
Other Motor Vehicle Dealers,94
Book Stores and News Dealers,86
"Justice, Public Order, and Safety Activities",82
"Agencies, Brokerages, and Other Insurance Related Activities",81
"Colleges, Universities, and Professional Schools",79
Automotive Equipment Rental and Leasing,78
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,77
Bakeries and Tortilla Manufacturing,77
Other Personal Services,73
Amusement Parks and Arcades,62
Medical and Diagnostic Laboratories,59
Waste Treatment and Disposal,59
Miscellaneous Durable Goods Merchant Wholesalers,58
Postal Service,57
Building Equipment Contractors,57
Other Miscellaneous Manufacturing,56
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",55
"Jewelry, Luggage, and Leather Goods Stores",53
Motion Picture and Video Industries,52
Other Schools and Instruction,49
Individual and Family Services,46
Lumber and Other Construction Materials Merchant Wholesalers,45
"Executive, Legislative, and Other General Government Support",45
Outpatient Care Centers,43
Drugs and Druggists' Sundries Merchant Wholesalers,41
Wired and Wireless Telecommunications Carriers,39
Drycleaning and Laundry Services,36
Shoe Stores,34
Other Financial Investment Activities,31
Drinking Places (Alcoholic Beverages),30
Junior Colleges,28
Consumer Goods Rental,28
Other Information Services,28
Administration of Economic Programs,26
Printing and Related Support Activities,24
Couriers and Express Delivery Services,23
Personal and Household Goods Repair and Maintenance,23
"Electric Power Generation, Transmission and Distribution",23
Offices of Real Estate Agents and Brokers,21
Nondepository Credit Intermediation,20
Spectator Sports,13
Specialized Freight Trucking,13
Psychiatric and Substance Abuse Hospitals,13
"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",12
Technical and Trade Schools,12
Nursing Care Facilities (Skilled Nursing Facilities),11
Warehousing and Storage,11
Death Care Services,9
Interurban and Rural Bus Transportation,8
Beverage Manufacturing,7
Administration of Human Resource Programs,6
Other Leather and Allied Product Manufacturing,6
Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,6
Gambling Industries,6
Taxi and Limousine Service,6
Commercial and Industrial Machinery and Equipment Rental and Leasing,6
Chemical and Allied Products Merchant Wholesalers,5
Employment Services,5
Activities Related to Credit Intermediation,5
Other Transit and Ground Passenger Transportation,5
Rail Transportation,5
RV (Recreational Vehicle) Parks and Recreational Camps,5
Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,5
Grocery and Related Product Merchant Wholesalers,5
"Machinery, Equipment, and Supplies Merchant Wholesalers",5
