Restaurants and Other Eating Places,12510
Lessors of Real Estate,7597
Elementary and Secondary Schools,4311
Gasoline Stations,4138
"General Merchandise Stores, including Warehouse Clubs and Supercenters",3926
Grocery Stores,3031
Other Amusement and Recreation Industries,2678
"Museums, Historical Sites, and Similar Institutions",1856
Health and Personal Care Stores,1587
"Sporting Goods, Hobby, and Musical Instrument Stores",952
Department Stores,928
"Colleges, Universities, and Professional Schools",773
Building Material and Supplies Dealers,734
Child Day Care Services,639
Religious Organizations,615
Other Miscellaneous Store Retailers,595
Traveler Accommodation,586
Depository Credit Intermediation,557
"Agencies, Brokerages, and Other Insurance Related Activities",423
Electronics and Appliance Stores,382
Automotive Repair and Maintenance,307
Other Information Services,291
Offices of Physicians,283
General Medical and Surgical Hospitals,274
"Automotive Parts, Accessories, and Tire Stores",257
Amusement Parks and Arcades,188
Clothing Stores,175
Used Merchandise Stores,157
Offices of Other Health Practitioners,152
Home Health Care Services,152
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,144
Automobile Dealers,141
"Office Supplies, Stationery, and Gift Stores",141
Personal Care Services,132
Motion Picture and Video Industries,132
Spectator Sports,122
Individual and Family Services,121
Support Activities for Air Transportation,118
Services to Buildings and Dwellings,115
Offices of Dentists,112
Specialty Food Stores,99
Junior Colleges,98
Book Stores and News Dealers,97
"Beer, Wine, and Liquor Stores",89
"Executive, Legislative, and Other General Government Support",77
Offices of Real Estate Agents and Brokers,67
"Jewelry, Luggage, and Leather Goods Stores",66
Home Furnishings Stores,62
Shoe Stores,58
Postal Service,54
Other Transit and Ground Passenger Transportation,53
Furniture Stores,43
Support Activities for Road Transportation,43
Other Motor Vehicle Dealers,41
"Justice, Public Order, and Safety Activities",38
Nondepository Credit Intermediation,35
Other Schools and Instruction,31
Travel Arrangement and Reservation Services,27
Waste Treatment and Disposal,27
Building Equipment Contractors,26
Drinking Places (Alcoholic Beverages),24
Lumber and Other Construction Materials Merchant Wholesalers,22
Wired and Wireless Telecommunications Carriers,22
Couriers and Express Delivery Services,21
Rail Transportation,19
"Machinery, Equipment, and Supplies Merchant Wholesalers",16
Consumer Goods Rental,16
Administration of Human Resource Programs,15
Specialized Freight Trucking,13
Automotive Equipment Rental and Leasing,13
Personal and Household Goods Repair and Maintenance,12
"Other Professional, Scientific, and Technical Services",12
Outpatient Care Centers,11
Bakeries and Tortilla Manufacturing,11
Nursing Care Facilities (Skilled Nursing Facilities),10
Miscellaneous Durable Goods Merchant Wholesalers,10
"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",10
Florists,10
