Lessors of Real Estate,4535
Restaurants and Other Eating Places,2809
Other Amusement and Recreation Industries,2441
"Museums, Historical Sites, and Similar Institutions",2074
Elementary and Secondary Schools,1623
Grocery Stores,1329
"General Merchandise Stores, including Warehouse Clubs and Supercenters",708
Gasoline Stations,545
"Sporting Goods, Hobby, and Musical Instrument Stores",527
Child Day Care Services,430
Department Stores,419
Health and Personal Care Stores,231
Other Miscellaneous Store Retailers,226
"Colleges, Universities, and Professional Schools",217
Traveler Accommodation,204
"Office Supplies, Stationery, and Gift Stores",200
Building Material and Supplies Dealers,153
Support Activities for Air Transportation,132
Religious Organizations,108
Specialty Food Stores,98
Drinking Places (Alcoholic Beverages),93
General Medical and Surgical Hospitals,93
Florists,85
Amusement Parks and Arcades,84
Home Furnishings Stores,75
Other Personal Services,68
Electronics and Appliance Stores,63
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",62
Home Health Care Services,60
Spectator Sports,55
"Justice, Public Order, and Safety Activities",52
Used Merchandise Stores,50
Clothing Stores,47
Motion Picture and Video Industries,45
Junior Colleges,41
Technical and Trade Schools,35
Beverage Manufacturing,35
Automobile Dealers,34
"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",33
Services to Buildings and Dwellings,33
Individual and Family Services,28
Furniture Stores,22
Consumer Goods Rental,21
Other Schools and Instruction,20
Other Information Services,19
Personal and Household Goods Repair and Maintenance,17
Offices of Dentists,17
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,16
Other Motor Vehicle Dealers,15
Personal Care Services,15
Automotive Repair and Maintenance,15
"Automotive Parts, Accessories, and Tire Stores",15
Offices of Physicians,14
Miscellaneous Durable Goods Merchant Wholesalers,14
"Electric Power Generation, Transmission and Distribution",13
Book Stores and News Dealers,13
Wired and Wireless Telecommunications Carriers,13
